x,y,z,roll,pitch,yaw
-39.063,-664.06,16578,-2.379,0.533,-76.295
-23.438,-703.13,15844,-2.39,0.538,-76.295
-289.06,-710.94,15789,-2.39,0.544,-76.295
-210.94,-664.06,16133,-2.384,0.538,-76.295
-46.875,-648.44,16086,-2.379,0.533,-76.295
-304.69,-750,15844,-2.39,0.544,-76.295
-54.688,-734.38,15703,-2.395,0.544,-76.295
-54.688,-570.31,15914,-2.384,0.538,-76.295
-203.13,-601.56,16328,-2.379,0.538,-76.295
-101.56,-765.63,15836,-2.395,0.538,-76.295
-179.69,-687.5,15492,-2.395,0.538,-76.295
-273.44,-632.81,16211,-2.384,0.544,-76.295
7.8125,-695.31,16469,-2.384,0.538,-76.295
0,-718.75,15680,-2.395,0.538,-76.295
-273.44,-656.25,15547,-2.401,0.544,-76.295
-375,-656.25,16086,-2.39,0.544,-76.295
-7.8125,-617.19,16250,-2.384,0.538,-76.295
-156.25,-632.81,16109,-2.39,0.538,-76.295
-398.44,-781.25,15938,-2.401,0.544,-76.295
-31.25,-640.63,16063,-2.39,0.538,-76.295
-132.81,-585.94,16219,-2.384,0.538,-76.295
-179.69,-750,16188,-2.395,0.538,-76.295
-46.875,-718.75,15570,-2.401,0.538,-76.295
-257.81,-593.75,15844,-2.395,0.544,-76.295
-132.81,-656.25,16586,-2.384,0.544,-76.295
39.063,-710.94,15789,-2.39,0.538,-76.295
-203.13,-648.44,15563,-2.401,0.538,-76.295
-304.69,-695.31,16211,-2.395,0.544,-76.295
46.875,-625,16250,-2.384,0.538,-76.295
-156.25,-640.63,16016,-2.39,0.538,-76.295
-390.63,-757.81,15773,-2.401,0.544,-76.295
-117.19,-625,16047,-2.395,0.538,-76.295
-78.125,-617.19,16102,-2.384,0.533,-76.295
-187.5,-734.38,16164,-2.39,0.538,-76.295
-62.5,-757.81,15523,-2.401,0.538,-76.295
-132.81,-609.38,15633,-2.395,0.538,-76.295
-203.13,-593.75,16320,-2.384,0.544,-76.295
0,-671.88,16141,-2.384,0.538,-76.295
-62.5,-703.13,15516,-2.395,0.538,-76.295
-367.19,-664.06,15930,-2.395,0.544,-76.295
-62.5,-601.56,16453,-2.384,0.538,-76.295
62.5,-664.06,15930,-2.384,0.533,-76.295
-312.5,-757.81,15828,-2.395,0.538,-76.295
-187.5,-710.94,15930,-2.395,0.538,-76.295
31.25,-632.81,16078,-2.384,0.533,-76.295
-234.38,-664.06,16148,-2.384,0.538,-76.295
-179.69,-804.69,15859,-2.395,0.538,-76.295
-70.313,-703.13,15844,-2.395,0.538,-76.295
-187.5,-625,16227,-2.384,0.538,-76.295
-62.5,-718.75,16469,-2.384,0.538,-76.295
-39.063,-750,15523,-2.395,0.533,-76.295
-281.25,-679.69,15695,-2.395,0.538,-76.295
-164.06,-625,16258,-2.384,0.538,-76.295
54.688,-703.13,16078,-2.384,0.533,-76.295
-187.5,-703.13,15664,-2.395,0.538,-76.295
-359.38,-695.31,15852,-2.395,0.544,-76.295
-78.125,-625,16227,-2.39,0.538,-76.295
-70.313,-609.38,16125,-2.379,0.533,-76.295
-296.88,-734.38,15969,-2.395,0.538,-76.295
-132.81,-734.38,15742,-2.401,0.538,-76.295
-101.56,-601.56,15984,-2.39,0.538,-76.295
-148.44,-648.44,16320,-2.384,0.538,-76.295
-101.56,-718.75,15742,-2.395,0.538,-76.295
-171.88,-679.69,15500,-2.401,0.538,-76.295
-281.25,-609.38,16109,-2.39,0.544,-76.295
23.438,-703.13,16422,-2.384,0.533,-76.295
-7.8125,-734.38,15672,-2.395,0.533,-76.295
-335.94,-703.13,15727,-2.401,0.544,-76.295
-125,-671.88,16195,-2.39,0.538,-76.295
101.56,-656.25,16117,-2.384,0.533,-76.295
-218.75,-687.5,15844,-2.39,0.538,-76.295
-187.5,-765.63,15773,-2.401,0.544,-76.295
-15.625,-664.06,15852,-2.39,0.538,-76.295
-195.31,-601.56,16352,-2.379,0.538,-76.295
-140.63,-734.38,16188,-2.39,0.538,-76.295
-85.938,-703.13,15516,-2.401,0.533,-76.295
-265.63,-640.63,15891,-2.395,0.538,-76.295
-109.38,-671.88,16703,-2.384,0.538,-76.295
0,-710.94,15820,-2.39,0.533,-76.295
-242.19,-718.75,15594,-2.401,0.533,-76.295
-281.25,-687.5,16086,-2.395,0.538,-76.295
0,-625,16266,-2.384,0.533,-76.295
-125,-679.69,15930,-2.39,0.533,-76.295
-367.19,-804.69,15898,-2.401,0.538,-76.295
-93.75,-648.44,15859,-2.401,0.538,-76.295
-78.125,-554.69,16188,-2.384,0.538,-76.295
-265.63,-664.06,16203,-2.39,0.538,-76.295
-46.875,-750,15617,-2.401,0.538,-76.295
-171.88,-664.06,15641,-2.401,0.538,-76.295
-218.75,-617.19,16438,-2.384,0.538,-76.295
-39.063,-687.5,16102,-2.39,0.538,-76.295
-85.938,-679.69,15492,-2.401,0.538,-76.295
-398.44,-640.63,15984,-2.401,0.544,-76.295
-31.25,-640.63,16422,-2.39,0.538,-76.295
39.063,-703.13,15930,-2.39,0.533,-76.295
-296.88,-726.56,15805,-2.401,0.544,-76.295
-93.75,-734.38,15875,-2.401,0.538,-76.295
0,-578.13,15977,-2.39,0.533,-76.295
-234.38,-617.19,16180,-2.39,0.538,-76.295
-156.25,-796.88,15727,-2.401,0.538,-76.295
-125,-664.06,15781,-2.401,0.538,-76.295
-218.75,-585.94,16219,-2.384,0.538,-76.295
-78.125,-687.5,16492,-2.384,0.538,-76.295
-93.75,-750,15594,-2.395,0.533,-76.295
-296.88,-664.06,15781,-2.395,0.538,-76.295
-140.63,-632.81,16320,-2.384,0.544,-76.295
