x,y,z,roll,pitch,yaw
-234.38,-679.69,15883,-2.384,0.544,-75.504
-148.44,-679.69,16352,-2.379,0.538,-75.504
-23.438,-656.25,16000,-2.384,0.533,-75.504
-242.19,-742.19,15828,-2.39,0.544,-75.504
-273.44,-718.75,15898,-2.384,0.538,-75.504
-46.875,-617.19,16156,-2.379,0.533,-75.504
-242.19,-718.75,16234,-2.384,0.538,-75.504
-226.56,-726.56,15797,-2.39,0.538,-75.504
-140.63,-648.44,15773,-2.384,0.538,-75.504
-171.88,-625,16344,-2.379,0.538,-75.504
-171.88,-710.94,16070,-2.384,0.538,-75.504
-148.44,-679.69,15594,-2.39,0.538,-75.504
-304.69,-617.19,15977,-2.39,0.544,-75.504
-171.88,-609.38,16453,-2.379,0.538,-75.504
-78.125,-640.63,15969,-2.384,0.538,-75.504
-265.63,-734.38,15758,-2.39,0.544,-75.504
-257.81,-664.06,16039,-2.39,0.544,-75.504
-70.313,-585.94,16188,-2.379,0.538,-75.504
-117.19,-664.06,16047,-2.384,0.544,-75.504
-281.25,-773.44,15859,-2.395,0.544,-75.504
-156.25,-664.06,15813,-2.39,0.549,-75.504
-156.25,-625,16180,-2.379,0.544,-75.504
-187.5,-703.13,16258,-2.384,0.544,-75.504
-164.06,-703.13,15711,-2.39,0.549,-75.504
-171.88,-687.5,15703,-2.39,0.549,-75.504
-125,-640.63,16266,-2.379,0.549,-75.504
-85.938,-648.44,16008,-2.384,0.549,-75.504
-148.44,-679.69,15625,-2.39,0.549,-75.504
-328.13,-648.44,15867,-2.39,0.555,-75.509
-140.63,-609.38,16180,-2.379,0.549,-75.504
-117.19,-617.19,16109,-2.384,0.549,-75.504
-312.5,-734.38,15891,-2.39,0.555,-75.504
-265.63,-695.31,15906,-2.384,0.549,-75.504
-125,-593.75,16023,-2.379,0.549,-75.504
-226.56,-625,16266,-2.384,0.549,-75.504
-187.5,-718.75,15797,-2.39,0.549,-75.504
-156.25,-648.44,15563,-2.384,0.549,-75.504
-195.31,-617.19,16141,-2.379,0.549,-75.504
-132.81,-656.25,16281,-2.379,0.549,-75.504
-46.875,-679.69,15578,-2.39,0.549,-75.504
-304.69,-687.5,15797,-2.384,0.555,-75.504
-195.31,-625,16203,-2.379,0.549,-75.504
0,-664.06,16063,-2.384,0.549,-75.504
-203.13,-710.94,15930,-2.39,0.555,-75.504
-328.13,-703.13,15797,-2.39,0.555,-75.504
-93.75,-632.81,15977,-2.379,0.549,-75.504
-125,-593.75,16086,-2.384,0.555,-75.504
-195.31,-734.38,16031,-2.39,0.555,-75.504
-125,-664.06,15695,-2.39,0.555,-75.504
-187.5,-609.38,15945,-2.379,0.555,-75.504
-195.31,-609.38,16430,-2.384,0.555,-75.504
-109.38,-695.31,15805,-2.39,0.549,-75.504
-187.5,-671.88,15602,-2.39,0.555,-75.504
-289.06,-664.06,16188,-2.384,0.549,-75.504
-62.5,-640.63,16117,-2.384,0.549,-75.504
-78.125,-671.88,15891,-2.39,0.549,-75.504
-351.56,-687.5,15859,-2.39,0.555,-75.504
-109.38,-640.63,16031,-2.384,0.544,-75.504
-46.875,-570.31,16141,-2.379,0.544,-75.504
-179.69,-687.5,16180,-2.39,0.544,-75.504
-148.44,-757.81,15664,-2.395,0.544,-75.504
-171.88,-648.44,15734,-2.384,0.544,-75.504
-187.5,-601.56,16359,-2.379,0.544,-75.504
-140.63,-664.06,16109,-2.39,0.544,-75.504
-179.69,-656.25,15539,-2.39,0.544,-75.504
-289.06,-617.19,16016,-2.384,0.544,-75.504
-164.06,-632.81,16406,-2.379,0.538,-75.504
-62.5,-664.06,15961,-2.384,0.538,-75.504
-312.5,-742.19,15789,-2.39,0.544,-75.504
-281.25,-640.63,16102,-2.379,0.544,-75.504
-62.5,-609.38,16070,-2.373,0.538,-75.504
-117.19,-695.31,16164,-2.384,0.544,-75.504
-289.06,-703.13,15773,-2.39,0.544,-75.504
-93.75,-656.25,15805,-2.379,0.544,-75.504
-132.81,-625,16180,-2.373,0.544,-75.504
-171.88,-679.69,16352,-2.384,0.544,-75.504
-70.313,-718.75,15648,-2.39,0.544,-75.504
-171.88,-656.25,15789,-2.379,0.544,-75.504
-250,-648.44,16367,-2.379,0.538,-75.504
-7.8125,-687.5,15813,-2.384,0.538,-75.504
-156.25,-710.94,15781,-2.39,0.544,-75.504
-406.25,-648.44,15914,-2.384,0.544,-75.504
31.25,-617.19,16117,-2.379,0.538,-75.504
-156.25,-718.75,16031,-2.384,0.544,-75.504
-210.94,-750,15703,-2.39,0.544,-75.504
-101.56,-656.25,15898,-2.384,0.544,-75.504
-125,-609.38,16227,-2.379,0.544,-75.504
-164.06,-703.13,16156,-2.384,0.544,-75.504
-125,-695.31,15641,-2.39,0.544,-75.504
-257.81,-671.88,15961,-2.384,0.544,-75.504
-187.5,-632.81,16453,-2.379,0.544,-75.504
0,-757.81,16031,-2.379,0.538,-75.504
-195.31,-679.69,15617,-2.39,0.544,-75.504
-234.38,-703.13,16031,-2.384,0.544,-75.504
-23.438,-664.06,16172,-2.379,0.544,-75.504
-125,-695.31,15883,-2.384,0.538,-75.504
-250,-765.63,15820,-2.39,0.544,-75.504
-93.75,-710.94,15891,-2.39,0.544,-75.504
-31.25,-585.94,16086,-2.379,0.538,-75.504
-140.63,-710.94,16180,-2.384,0.538,-75.504
-132.81,-750,15656,-2.395,0.544,-75.504
-70.313,-617.19,15695,-2.39,0.538,-75.504
-210.94,-625,16305,-2.384,0.544,-75.504
-85.938,-679.69,16016,-2.384,0.538,-75.504
-109.38,-734.38,15727,-2.39,0.538,-75.504
-281.25,-671.88,15875,-2.39,0.544,-75.504
-164.06,-640.63,16313,-2.379,0.538,-75.504
-23.438,-656.25,15977,-2.379,0.538,-75.504
-257.81,-750,15781,-2.39,0.538,-75.504
-250,-679.69,15828,-2.395,0.544,-75.504
-23.438,-625,15984,-2.384,0.538,-75.504
-156.25,-671.88,16156,-2.384,0.538,-75.504
-156.25,-773.44,15852,-2.395,0.544,-75.504
-101.56,-687.5,15578,-2.395,0.538,-75.504
-148.44,-593.75,16125,-2.384,0.544,-75.504
-132.81,-687.5,16328,-2.384,0.538,-75.504
-78.125,-750,15719,-2.395,0.538,-75.504
-273.44,-687.5,15719,-2.395,0.544,-75.504
-226.56,-656.25,16211,-2.384,0.544,-75.504
-39.063,-640.63,15992,-2.384,0.538,-75.504
-156.25,-695.31,15805,-2.395,0.538,-75.504
-234.38,-687.5,15852,-2.395,0.544,-75.504
-54.688,-648.44,16039,-2.384,0.544,-75.504
-62.5,-617.19,16164,-2.39,0.544,-75.504
-164.06,-757.81,15961,-2.395,0.544,-75.504
-195.31,-687.5,15688,-2.395,0.544,-75.504
-109.38,-679.69,16023,-2.384,0.544,-75.504
-101.56,-640.63,16289,-2.384,0.544,-75.504
-132.81,-726.56,15898,-2.401,0.544,-75.504
-195.31,-703.13,15602,-2.395,0.544,-75.504
-234.38,-656.25,16125,-2.384,0.544,-75.504
-93.75,-640.63,16398,-2.384,0.544,-75.504
-78.125,-695.31,15867,-2.395,0.544,-75.504
-320.31,-750,15859,-2.395,0.544,-75.504
-203.13,-640.63,16172,-2.384,0.544,-75.504
7.8125,-671.88,16094,-2.384,0.538,-75.504
-179.69,-703.13,16109,-2.395,0.544,-75.504
-187.5,-750,15797,-2.395,0.544,-75.504
-85.938,-632.81,15883,-2.384,0.544,-75.504
-125,-601.56,16313,-2.384,0.538,-75.504
-78.125,-757.81,16148,-2.39,0.544,-75.504
-109.38,-734.38,15641,-2.395,0.544,-75.504
-203.13,-609.38,15922,-2.384,0.549,-75.504
-93.75,-687.5,16469,-2.384,0.544,-75.504
46.875,-726.56,15836,-2.39,0.544,-75.504
-250,-703.13,15719,-2.395,0.549,-75.504
-195.31,-687.5,16039,-2.384,0.544,-75.504
0,-671.88,16164,-2.379,0.538,-75.504
-148.44,-703.13,16094,-2.39,0.544,-75.504
-320.31,-718.75,15766,-2.395,0.549,-75.504
-156.25,-679.69,16039,-2.384,0.544,-75.504
-117.19,-617.19,16148,-2.379,0.544,-75.504
-140.63,-734.38,16328,-2.384,0.544,-75.504
-156.25,-773.44,15734,-2.39,0.544,-75.504
-93.75,-703.13,15758,-2.379,0.544,-75.504
-140.63,-617.19,16344,-2.373,0.544,-75.504
-101.56,-695.31,16133,-2.384,0.544,-75.504
-15.625,-726.56,15656,-2.39,0.544,-75.504
-210.94,-718.75,15875,-2.384,0.549,-75.504
-78.125,-664.06,16313,-2.373,0.544,-75.504
23.438,-718.75,16016,-2.384,0.544,-75.504
-257.81,-710.94,15891,-2.39,0.549,-75.504
-218.75,-734.38,15859,-2.384,0.549,-75.504
-7.8125,-640.63,16078,-2.373,0.549,-75.504
-132.81,-648.44,16266,-2.384,0.549,-75.504
-187.5,-750,15938,-2.395,0.549,-75.504
-164.06,-718.75,15641,-2.384,0.549,-75.504
-210.94,-609.38,16273,-2.379,0.549,-75.504
-70.313,-695.31,16375,-2.384,0.549,-75.504
-39.063,-726.56,15602,-2.39,0.549,-75.504
-273.44,-710.94,15789,-2.39,0.555,-75.504
-179.69,-656.25,16227,-2.379,0.549,-75.504
54.688,-671.88,16078,-2.379,0.549,-75.504
-132.81,-726.56,15828,-2.39,0.555,-75.504
-242.19,-757.81,15773,-2.384,0.555,-75.504
-62.5,-671.88,16102,-2.379,0.549,-75.504
-54.688,-671.88,16117,-2.379,0.549,-75.504
-195.31,-750,15969,-2.39,0.555,-75.504
-187.5,-773.44,15750,-2.39,0.555,-75.504
-93.75,-679.69,15969,-2.379,0.555,-75.504
-218.75,-648.44,16430,-2.379,0.555,-75.504
-109.38,-718.75,15914,-2.39,0.555,-75.504
-179.69,-734.38,15641,-2.39,0.555,-75.504
-195.31,-671.88,16164,-2.379,0.555,-75.504
-54.688,-648.44,16297,-2.379,0.549,-75.504
-23.438,-742.19,15914,-2.384,0.555,-75.504
-273.44,-695.31,15773,-2.384,0.56,-75.504
-164.06,-671.88,16102,-2.379,0.555,-75.504
-15.625,-664.06,16094,-2.373,0.555,-75.504
-171.88,-757.81,16078,-2.384,0.555,-75.504
-171.88,-781.25,15797,-2.39,0.555,-75.504
-85.938,-617.19,15789,-2.379,0.555,-75.504
-93.75,-664.06,16336,-2.379,0.555,-75.504
-109.38,-718.75,16078,-2.384,0.555,-75.504
-78.125,-773.44,15570,-2.39,0.555,-75.504
-218.75,-718.75,15992,-2.379,0.555,-75.504
-125,-671.88,16391,-2.379,0.555,-75.504
-23.438,-718.75,15961,-2.384,0.555,-75.504
-296.88,-718.75,15703,-2.39,0.56,-75.504
-250,-664.06,16031,-2.379,0.555,-75.504
-23.438,-664.06,16156,-2.379,0.549,-75.504
-85.938,-648.44,15984,-2.384,0.555,-75.504
-242.19,-789.06,15898,-2.39,0.555,-75.504
-78.125,-710.94,15844,-2.379,0.555,-75.504
-70.313,-640.63,16109,-2.373,0.555,-75.504
-148.44,-710.94,16266,-2.384,0.555,-75.504
-39.063,-750,15672,-2.39,0.555,-75.504
-187.5,-648.44,15727,-2.379,0.555,-75.504
-171.88,-687.5,16359,-2.373,0.549,-75.504
-78.125,-671.88,16141,-2.384,0.549,-75.504
-85.938,-734.38,15586,-2.39,0.549,-75.504
-289.06,-687.5,15961,-2.384,0.555,-75.504
-148.44,-703.13,16313,-2.379,0.549,-75.504
0,-656.25,15953,-2.384,0.549,-75.504
-257.81,-734.38,16047,-2.39,0.555,-75.504
-242.19,-703.13,15820,-2.384,0.555,-75.504
23.438,-601.56,16109,-2.373,0.549,-75.504
-195.31,-695.31,16305,-2.384,0.555,-75.504
-125,-765.63,15781,-2.39,0.555,-75.504
-78.125,-687.5,15641,-2.384,0.555,-75.504
-164.06,-640.63,16211,-2.373,0.555,-75.504
-23.438,-718.75,16266,-2.379,0.549,-75.504
-62.5,-765.63,15703,-2.39,0.549,-75.504
-281.25,-671.88,15727,-2.384,0.555,-75.504
-156.25,-664.06,16430,-2.379,0.549,-75.504
-140.63,-671.88,15906,-2.384,0.549,-75.504
-312.5,-695.31,15969,-2.39,0.555,-75.504
-171.88,-671.88,15945,-2.39,0.555,-75.504
-23.438,-570.31,16180,-2.379,0.544,-75.504
-234.38,-679.69,16172,-2.379,0.549,-75.504
-156.25,-718.75,15781,-2.39,0.549,-75.504
-187.5,-664.06,15742,-2.39,0.549,-75.504
-195.31,-601.56,16320,-2.379,0.555,-75.504
-164.06,-703.13,16188,-2.379,0.549,-75.504
-132.81,-695.31,15773,-2.39,0.549,-75.504
-281.25,-640.63,15898,-2.384,0.555,-75.504
-171.88,-687.5,16492,-2.379,0.555,-75.504
-93.75,-648.44,15922,-2.379,0.549,-75.504
-203.13,-781.25,15906,-2.39,0.555,-75.504
-265.63,-726.56,15938,-2.39,0.56,-75.504
-31.25,-625,16063,-2.379,0.555,-75.504
-140.63,-695.31,16039,-2.379,0.555,-75.504
-179.69,-726.56,15945,-2.39,0.555,-75.504
-132.81,-695.31,15773,-2.39,0.555,-75.504
-125,-578.13,16172,-2.379,0.555,-75.504
-164.06,-710.94,16344,-2.379,0.555,-75.504
-78.125,-718.75,15742,-2.39,0.555,-75.504
-179.69,-640.63,15641,-2.39,0.555,-75.504
-257.81,-648.44,16422,-2.384,0.56,-75.504
-31.25,-664.06,16109,-2.384,0.549,-75.504
-125,-734.38,15813,-2.39,0.555,-75.504
-375,-742.19,15938,-2.39,0.56,-75.504
-70.313,-648.44,16063,-2.379,0.555,-75.504
-85.938,-625,16211,-2.384,0.555,-75.504
-257.81,-718.75,16008,-2.39,0.56,-75.504
-156.25,-734.38,15734,-2.39,0.56,-75.504
-140.63,-609.38,16023,-2.379,0.56,-75.504
-218.75,-648.44,16273,-2.379,0.555,-75.504
-140.63,-710.94,15938,-2.39,0.555,-75.504
-195.31,-695.31,15609,-2.39,0.56,-75.504
-273.44,-648.44,16188,-2.379,0.555,-75.504
-109.38,-695.31,16336,-2.384,0.555,-75.504
-101.56,-695.31,15828,-2.39,0.555,-75.504
-265.63,-710.94,15813,-2.384,0.56,-75.504
-218.75,-656.25,16156,-2.379,0.555,-75.504
-31.25,-656.25,16086,-2.379,0.555,-75.504
-179.69,-710.94,15906,-2.39,0.56,-75.504
-257.81,-710.94,15859,-2.39,0.56,-75.504
-132.81,-601.56,15922,-2.379,0.555,-75.504
-156.25,-601.56,16273,-2.379,0.555,-75.504
-203.13,-703.13,16141,-2.39,0.555,-75.504
-210.94,-718.75,15672,-2.384,0.555,-75.504
-218.75,-656.25,15953,-2.379,0.555,-75.504
-195.31,-617.19,16430,-2.379,0.555,-75.504
-117.19,-726.56,15898,-2.384,0.555,-75.504
-210.94,-679.69,15648,-2.39,0.56,-75.504
-234.38,-679.69,16125,-2.379,0.555,-75.504
-15.625,-640.63,16133,-2.373,0.549,-75.504
-125,-640.63,15984,-2.384,0.555,-75.504
-234.38,-726.56,15922,-2.39,0.555,-75.504
-140.63,-664.06,15844,-2.384,0.555,-75.504
