x,y,z,roll,pitch,yaw
-234.38,-734.38,15859,-2.39,0.5,-76.707
-132.81,-664.06,16023,-2.379,0.5,-76.707
-109.38,-625,16281,-2.379,0.5,-76.707
-164.06,-742.19,16133,-2.39,0.5,-76.707
-148.44,-742.19,15727,-2.39,0.5,-76.707
-195.31,-687.5,15867,-2.379,0.5,-76.707
-117.19,-648.44,16430,-2.379,0.494,-76.707
-78.125,-710.94,15867,-2.384,0.494,-76.707
-195.31,-703.13,15727,-2.39,0.5,-76.707
-250,-609.38,16023,-2.379,0.5,-76.707
-93.75,-632.81,16242,-2.379,0.494,-76.707
-132.81,-679.69,16016,-2.384,0.5,-76.707
-289.06,-718.75,15977,-2.39,0.5,-76.707
-164.06,-625,15977,-2.379,0.5,-76.707
-101.56,-593.75,16234,-2.373,0.494,-76.707
-265.63,-718.75,16242,-2.384,0.5,-76.707
-156.25,-726.56,15766,-2.384,0.494,-76.707
-164.06,-648.44,15820,-2.379,0.5,-76.707
-148.44,-617.19,16250,-2.373,0.5,-76.707
-109.38,-664.06,16164,-2.379,0.494,-76.707
-140.63,-757.81,15727,-2.384,0.5,-76.707
-273.44,-671.88,15891,-2.379,0.5,-76.707
-132.81,-601.56,16344,-2.373,0.494,-76.707
-62.5,-671.88,16133,-2.379,0.494,-76.707
-218.75,-718.75,15813,-2.39,0.5,-76.707
-62.5,-656.25,15992,-2.379,0.5,-76.707
-46.875,-601.56,16234,-2.373,0.494,-76.707
-132.81,-718.75,16055,-2.379,0.5,-76.707
-171.88,-710.94,15836,-2.39,0.494,-76.707
-85.938,-679.69,15875,-2.384,0.5,-76.707
-156.25,-632.81,16297,-2.373,0.494,-76.707
-70.313,-671.88,15992,-2.379,0.494,-76.707
-117.19,-671.88,15641,-2.384,0.494,-76.707
-210.94,-632.81,16016,-2.379,0.5,-76.707
-125,-632.81,16477,-2.373,0.494,-76.707
-78.125,-687.5,15867,-2.373,0.494,-76.707
-210.94,-695.31,15891,-2.384,0.494,-76.707
-226.56,-710.94,16086,-2.379,0.494,-76.707
0,-617.19,16039,-2.373,0.494,-76.707
-117.19,-695.31,16172,-2.373,0.494,-76.707
-203.13,-781.25,15805,-2.384,0.5,-76.707
-117.19,-671.88,15672,-2.384,0.494,-76.707
-101.56,-617.19,16289,-2.373,0.494,-76.707
-164.06,-695.31,16211,-2.373,0.494,-76.707
-31.25,-710.94,15711,-2.384,0.494,-76.707
-242.19,-648.44,15828,-2.379,0.5,-76.707
-148.44,-640.63,16414,-2.368,0.5,-76.707
-54.688,-648.44,15992,-2.373,0.494,-76.707
-132.81,-695.31,15773,-2.379,0.5,-76.707
-296.88,-671.88,15961,-2.379,0.505,-76.707
-15.625,-601.56,16141,-2.368,0.5,-76.707
-109.38,-656.25,16094,-2.368,0.5,-76.707
-257.81,-710.94,15883,-2.379,0.505,-76.707
-93.75,-687.5,15852,-2.379,0.5,-76.707
-125,-601.56,16102,-2.368,0.5,-76.707
-93.75,-687.5,16281,-2.368,0.5,-76.707
-101.56,-757.81,15797,-2.379,0.5,-76.707
-187.5,-656.25,15734,-2.379,0.5,-76.707
-171.88,-593.75,16188,-2.368,0.5,-76.707
-93.75,-671.88,16211,-2.368,0.5,-76.707
-132.81,-726.56,15719,-2.373,0.5,-76.707
-304.69,-703.13,15945,-2.379,0.5,-76.707
-148.44,-656.25,16227,-2.373,0.5,-76.707
-78.125,-648.44,16070,-2.368,0.5,-76.707
-187.5,-742.19,15961,-2.379,0.5,-76.707
-187.5,-687.5,15773,-2.379,0.5,-76.707
-93.75,-601.56,15914,-2.368,0.5,-76.707
-171.88,-648.44,16289,-2.368,0.5,-76.707
-210.94,-703.13,15938,-2.379,0.5,-76.707
-140.63,-710.94,15750,-2.379,0.5,-76.707
-242.19,-617.19,16102,-2.368,0.505,-76.707
-85.938,-695.31,16414,-2.373,0.5,-76.707
-78.125,-703.13,15789,-2.379,0.5,-76.707
-218.75,-726.56,15828,-2.379,0.505,-76.707
-125,-687.5,16070,-2.368,0.505,-76.707
-15.625,-664.06,16172,-2.368,0.5,-76.707
-148.44,-742.19,15867,-2.379,0.505,-76.707
-234.38,-742.19,15875,-2.379,0.505,-76.707
-117.19,-679.69,15953,-2.368,0.505,-76.707
-140.63,-585.94,16250,-2.368,0.505,-76.707
-218.75,-703.13,16055,-2.379,0.505,-76.707
-164.06,-750,15828,-2.379,0.505,-76.707
-234.38,-585.94,15828,-2.368,0.511,-76.707
-78.125,-632.81,16430,-2.368,0.505,-76.707
-101.56,-726.56,15953,-2.379,0.505,-76.707
-203.13,-695.31,15688,-2.379,0.511,-76.707
-218.75,-664.06,16055,-2.368,0.511,-76.707
-93.75,-679.69,16281,-2.368,0.505,-76.707
-78.125,-695.31,15867,-2.373,0.505,-76.707
-234.38,-734.38,15891,-2.379,0.511,-76.707
-164.06,-679.69,15898,-2.373,0.505,-76.707
-78.125,-625,16211,-2.368,0.505,-76.707
-257.81,-687.5,16070,-2.373,0.511,-76.707
-179.69,-703.13,15828,-2.379,0.511,-76.707
-140.63,-648.44,15805,-2.373,0.511,-76.707
-195.31,-640.63,16305,-2.368,0.505,-76.707
-195.31,-710.94,16164,-2.379,0.511,-76.707
-109.38,-718.75,15766,-2.379,0.511,-76.707
-250,-640.63,15922,-2.373,0.511,-76.707
-171.88,-617.19,16422,-2.368,0.505,-76.707
31.25,-679.69,15977,-2.373,0.505,-76.707
-195.31,-742.19,15742,-2.379,0.511,-76.707
-250,-687.5,15961,-2.373,0.511,-76.707
-7.8125,-687.5,16117,-2.368,0.505,-76.707
-140.63,-648.44,16031,-2.379,0.505,-76.707
-195.31,-726.56,15859,-2.384,0.505,-76.707
-148.44,-718.75,15758,-2.379,0.505,-76.707
-140.63,-578.13,16117,-2.373,0.505,-76.707
-132.81,-664.06,16258,-2.379,0.505,-76.707
-132.81,-718.75,15797,-2.384,0.505,-76.707
-289.06,-656.25,15672,-2.379,0.511,-76.707
-171.88,-625,16297,-2.373,0.505,-76.707
-171.88,-625,16102,-2.373,0.505,-76.707
-273.44,-671.88,15742,-2.384,0.505,-76.707
-265.63,-695.31,16055,-2.379,0.511,-76.707
7.8125,-687.5,16164,-2.373,0.505,-76.707
-39.063,-609.38,16195,-2.373,0.505,-76.707
-257.81,-734.38,15922,-2.384,0.511,-76.707
-117.19,-656.25,15828,-2.379,0.505,-76.707
-101.56,-578.13,16242,-2.368,0.505,-76.707
-187.5,-679.69,16102,-2.373,0.505,-76.707
-132.81,-695.31,15766,-2.384,0.505,-76.707
-179.69,-593.75,15672,-2.379,0.511,-76.707
-179.69,-656.25,16469,-2.368,0.505,-76.707
-125,-664.06,15969,-2.373,0.505,-76.707
-70.313,-765.63,15711,-2.379,0.505,-76.707
-281.25,-703.13,15945,-2.379,0.511,-76.707
-31.25,-671.88,16281,-2.373,0.505,-76.707
-31.25,-679.69,16000,-2.373,0.505,-76.707
-265.63,-734.38,15867,-2.384,0.511,-76.707
-117.19,-687.5,15844,-2.379,0.511,-76.707
-62.5,-664.06,16117,-2.373,0.505,-76.707
-164.06,-609.38,16102,-2.373,0.511,-76.707
-109.38,-742.19,15797,-2.379,0.511,-76.707
-140.63,-656.25,15703,-2.384,0.511,-76.707
-171.88,-593.75,16203,-2.368,0.511,-76.707
-195.31,-656.25,16258,-2.368,0.505,-76.707
-85.938,-726.56,15688,-2.379,0.505,-76.707
-234.38,-679.69,15828,-2.379,0.505,-76.707
-164.06,-648.44,16289,-2.373,0.505,-76.707
-62.5,-632.81,15984,-2.368,0.5,-76.707
-156.25,-695.31,15867,-2.379,0.505,-76.707
-234.38,-718.75,15820,-2.384,0.505,-76.707
-7.8125,-601.56,16102,-2.373,0.505,-76.707
-132.81,-656.25,16156,-2.368,0.5,-76.707
-156.25,-757.81,16078,-2.379,0.505,-76.707
-164.06,-710.94,15703,-2.384,0.505,-76.707
-171.88,-601.56,16086,-2.368,0.5,-76.707
-132.81,-687.5,16352,-2.373,0.5,-76.707
-39.063,-703.13,15766,-2.379,0.5,-76.707
-234.38,-695.31,15656,-2.379,0.505,-76.707
-226.56,-625,16133,-2.368,0.5,-76.707
-85.938,-609.38,16141,-2.373,0.5,-76.707
-125,-718.75,15938,-2.384,0.5,-76.707
-335.94,-703.13,15797,-2.384,0.505,-76.707
-148.44,-640.63,16172,-2.373,0.5,-76.707
-39.063,-632.81,16250,-2.368,0.5,-76.707
-234.38,-695.31,16086,-2.379,0.5,-76.707
