x,y,z,roll,pitch,yaw
-0.034,-0.056,0.996,-3.279,1.862,-167.39
-0.034,-0.056,0.996,-3.279,1.862,-167.39
-0.032,-0.058,0.991,-3.279,1.862,-167.39
-0.032,-0.058,0.991,-3.279,1.862,-167.39
-0.032,-0.058,0.991,-3.279,1.862,-167.39
-0.031,-0.058,0.995,-3.279,1.862,-167.39
-0.031,-0.058,0.995,-3.279,1.862,-167.39
-0.031,-0.058,0.995,-3.279,1.862,-167.39
-0.031,-0.058,0.995,-3.279,1.862,-167.39
-0.031,-0.056,0.996,-3.279,1.862,-167.39
-0.031,-0.056,0.996,-3.279,1.862,-167.39
-0.031,-0.056,0.996,-3.279,1.868,-167.39
-0.032,-0.057,0.993,-3.279,1.868,-167.39
-0.032,-0.057,0.993,-3.279,1.868,-167.39
-0.032,-0.057,0.993,-3.279,1.868,-167.39
-0.032,-0.057,0.993,-3.279,1.868,-167.39
-0.036,-0.057,0.997,-3.279,1.868,-167.39
-0.036,-0.057,0.997,-3.279,1.868,-167.39
-0.036,-0.057,0.997,-3.279,1.873,-167.39
-0.036,-0.057,0.997,-3.279,1.873,-167.39
-0.034,-0.057,0.999,-3.279,1.873,-167.39
-0.034,-0.057,0.999,-3.279,1.868,-167.39
-0.034,-0.057,0.999,-3.279,1.868,-167.39
-0.035,-0.058,1,-3.279,1.868,-167.39
-0.035,-0.058,1,-3.279,1.868,-167.39
-0.035,-0.058,1,-3.279,1.873,-167.39
-0.035,-0.058,1,-3.279,1.873,-167.39
-0.037,-0.058,1,-3.279,1.873,-167.39
-0.037,-0.058,1,-3.279,1.873,-167.39
-0.037,-0.058,1,-3.279,1.873,-167.39
-0.033,-0.058,0.997,-3.279,1.873,-167.39
-0.033,-0.058,0.997,-3.279,1.873,-167.39
-0.033,-0.058,0.997,-3.279,1.873,-167.39
-0.033,-0.058,0.997,-3.279,1.873,-167.39
-0.035,-0.057,0.999,-3.279,1.873,-167.39
-0.035,-0.057,0.999,-3.279,1.873,-167.39
-0.035,-0.057,0.999,-3.279,1.873,-167.39
