x,y,z,roll,pitch,yaw
-140.63,-726.56,15844,-2.681,0.802,-52.773
-273.44,-656.25,16141,-2.675,0.802,-52.773
-226.56,-734.38,16109,-2.675,0.802,-52.773
-117.19,-742.19,15977,-2.681,0.802,-52.773
-265.63,-757.81,15953,-2.686,0.802,-52.773
-261.72,-746.09,15945,-2.6835,0.802,-52.773
-257.81,-734.38,15938,-2.681,0.802,-52.773
-242.19,-710.94,16156,-2.681,0.802,-52.773
-164.06,-726.56,16078,-2.675,0.802,-52.773
-156.25,-734.38,16148,-2.675,0.802,-52.773
-234.38,-710.94,15945,-2.681,0.802,-52.773
-296.88,-757.81,15875,-2.681,0.802,-52.773
-257.81,-781.25,15898,-2.681,0.807,-52.773
-335.94,-710.94,15992,-2.675,0.802,-52.773
-179.69,-726.56,16000,-2.675,0.802,-52.773
-164.06,-703.13,16047,-2.675,0.802,-52.773
-210.94,-742.19,16063,-2.675,0.802,-52.773
-312.5,-804.69,16031,-2.681,0.807,-52.773
-273.44,-765.63,15875,-2.681,0.807,-52.773
-218.75,-765.63,15875,-2.681,0.807,-52.773
-250,-664.06,16023,-2.675,0.807,-52.773
-187.5,-726.56,16188,-2.675,0.802,-52.773
-222.66,-750,16082,-2.675,0.8045,-52.773
-257.81,-773.44,15977,-2.675,0.807,-52.773
-242.19,-781.25,16023,-2.681,0.802,-52.773
-218.75,-757.81,15875,-2.681,0.807,-52.773
-242.19,-734.38,15953,-2.681,0.807,-52.773
-312.5,-750,16133,-2.675,0.807,-52.773
-203.13,-671.88,16047,-2.675,0.807,-52.773
-203.13,-757.81,16094,-2.675,0.807,-52.773
-148.44,-789.06,15883,-2.675,0.807,-52.773
-218.75,-742.19,15781,-2.681,0.807,-52.773
-335.94,-773.44,15945,-2.681,0.807,-52.773
-296.88,-726.56,15984,-2.675,0.807,-52.773
-242.19,-664.06,16031,-2.675,0.807,-52.773
-140.63,-742.19,16078,-2.67,0.807,-52.773
-195.31,-703.13,16055,-2.675,0.807,-52.773
-187.5,-820.31,16070,-2.675,0.807,-52.773
-273.44,-796.88,15836,-2.681,0.807,-52.773
-226.56,-700,15891,-2.675,0.807,-52.773
-171.88,-750,15883,-2.675,0.807,-52.773
-179.69,-679.69,16141,-2.675,0.807,-52.773
-218.75,-703.13,16195,-2.675,0.807,-52.773
-265.63,-781.25,15891,-2.675,0.807,-52.773
-250,-828.13,15898,-2.681,0.807,-52.773
-210.94,-765.63,15828,-2.681,0.807,-52.773
-226.56,-742.19,15773,-2.681,0.807,-52.773
-242.19,-695.31,15984,-2.675,0.802,-52.773
-281.25,-679.69,16234,-2.675,0.802,-52.773
-187.5,-750,16063,-2.681,0.807,-52.773
-242.19,-765.63,16039,-2.681,0.807,-52.773
-171.88,-796.88,15711,-2.686,0.807,-52.773
-281.25,-804.69,15852,-2.681,0.807,-52.773
-304.69,-710.94,16117,-2.681,0.807,-52.773
-281.25,-656.25,16094,-2.675,0.807,-52.773
-195.31,-679.69,16063,-2.67,0.802,-52.773
-210.94,-757.81,16027,-2.6755,0.8045,-52.773
-226.56,-835.94,15992,-2.681,0.807,-52.773
-320.31,-843.75,15859,-2.686,0.807,-52.773
-328.13,-789.06,15742,-2.681,0.807,-52.773
-226.56,-773.44,15852,-2.675,0.807,-52.773
-101.56,-656.25,16242,-2.67,0.807,-52.773
-250,-703.13,16250,-2.67,0.807,-52.773
-187.5,-734.38,16203,-2.675,0.807,-52.773
-273.44,-750,15922,-2.681,0.807,-52.773
-179.69,-820.31,15766,-2.681,0.807,-52.773
-273.44,-773.44,15805,-2.681,0.807,-52.773
-273.44,-734.38,15992,-2.681,0.807,-52.773
-195.31,-679.69,16219,-2.67,0.807,-52.773
-195.31,-710.94,16281,-2.67,0.807,-52.773
-210.94,-703.13,16094,-2.675,0.807,-52.773
-203.13,-773.44,15703,-2.681,0.807,-52.773
-234.38,-843.75,15750,-2.681,0.813,-52.773
-280,-804.69,15906,-2.675,0.807,-52.773
-250,-750,16109,-2.67,0.807,-52.773
-148.44,-687.5,16109,-2.67,0.807,-52.773
-85.938,-718.75,16180,-2.67,0.807,-52.773
-148.44,-781.25,16063,-2.675,0.807,-52.773
-312.5,-804.69,15984,-2.681,0.813,-52.773
-226.56,-820.31,15742,-2.681,0.813,-52.773
-234.38,-703.13,15766,-2.675,0.813,-52.773
-78.125,-765.63,16078,-2.675,0.807,-52.773
-218.75,-625,16227,-2.67,0.807,-52.773
-226.56,-703.13,16172,-2.67,0.807,-52.773
-242.19,-773.44,15867,-2.675,0.807,-52.773
-320.31,-796.88,15750,-2.681,0.807,-52.773
-195.31,-781.25,15750,-2.681,0.807,-52.773
-242.19,-773.44,15898,-2.675,0.807,-52.773
-203.13,-695.31,16063,-2.67,0.807,-52.773
-187.5,-703.13,16258,-2.67,0.807,-52.773
-500,-703.13,16094,-2.675,0.807,-52.773
-203.13,-789.06,15914,-2.681,0.807,-52.773
-234.38,-789.06,15773,-2.681,0.807,-52.773
-265.63,-773.44,15781,-2.681,0.807,-52.773
-304.69,-687.5,16203,-2.681,0.807,-52.773
-250,-671.88,16000,-2.675,0.807,-52.773
-117.19,-632.81,16109,-2.675,0.802,-52.773
-132.81,-703.13,16203,-2.675,0.802,-52.773
-242.19,-835.94,15828,-2.681,0.807,-52.773
-265.63,-796.88,15898,-2.681,0.807,-52.773
-242.19,-750,15930,-2.681,0.807,-52.773
-210.94,-757.81,15930,-2.675,0.807,-52.773
-93.75,-734.38,16125,-2.675,0.807,-52.773
-171.88,-695.31,16047,-2.675,0.807,-52.773
-250,-750,16055,-2.675,0.807,-52.773
-210.94,-757.81,15922,-2.681,0.807,-52.773
-222.66,-734.38,15973,-2.681,0.807,-52.773
-234.38,-710.94,16023,-2.681,0.807,-52.773
-218.75,-726.56,16258,-2.675,0.807,-52.773
-234.38,-734.38,16219,-2.675,0.802,-52.773
-171.88,-765.63,16016,-2.681,0.802,-52.773
-234.38,-781.25,15789,-2.681,0.802,-52.773
-281.25,-796.88,15852,-2.681,0.807,-52.773
-234.38,-726.56,16109,-2.675,0.807,-52.773
-265.63,-703.13,16133,-2.675,0.802,-52.773
-195.31,-687.5,16055,-2.675,0.802,-52.773
-117.19,-796.88,16070,-2.675,0.802,-52.773
-304.69,-789.06,16031,-2.681,0.807,-52.773
-281.25,-867.19,15805,-2.681,0.807,-52.773
-312.5,-757.81,15859,-2.681,0.807,-52.773
-148.44,-710.94,16000,-2.675,0.807,-52.773
-179.69,-703.13,16156,-2.675,0.802,-52.773
-199.22,-757.81,16113,-2.678,0.8045,-52.773
-218.75,-812.5,16070,-2.681,0.807,-52.773
-171.88,-742.19,15875,-2.681,0.807,-52.773
-273.44,-820.31,15750,-2.681,0.807,-52.773
-328.13,-718.75,15953,-2.681,0.807,-52.773
-210.94,-726.56,16039,-2.675,0.807,-52.773
-164.06,-703.13,16156,-2.675,0.807,-52.773
-265.63,-796.88,16164,-2.675,0.807,-52.773
-218.75,-789.06,15852,-2.681,0.807,-52.773
-226.56,-773.44,15695,-2.681,0.807,-52.773
-257.81,-750,15758,-2.681,0.807,-52.773
-250,-718.75,16078,-2.675,0.807,-52.773
-234.38,-734.38,16141,-2.675,0.807,-52.773
-195.31,-710.94,16063,-2.675,0.807,-52.773
-171.88,-757.81,16055,-2.681,0.807,-52.773
-179.69,-757.81,15883,-2.681,0.807,-52.773
-320.31,-828.13,15836,-2.681,0.813,-52.773
-246.09,-761.72,15918,-2.678,0.81,-52.773
-171.88,-695.31,16000,-2.675,0.807,-52.773
-171.88,-726.56,16109,-2.675,0.802,-52.773
-203.13,-679.69,16156,-2.675,0.807,-52.773
-265.63,-781.25,15883,-2.681,0.807,-52.773
-257.81,-742.19,15875,-2.681,0.807,-52.773
-210.94,-804.69,16000,-2.681,0.807,-52.773
-234.38,-750,15953,-2.681,0.807,-52.773
-234.38,-757.81,15883,-2.675,0.807,-52.773
-218.75,-710.94,16164,-2.675,0.802,-52.773
-218.75,-726.56,16156,-2.675,0.807,-52.773
-234.38,-781.25,16016,-2.681,0.807,-52.773
-335.94,-773.44,15883,-2.681,0.807,-52.773
-203.13,-703.13,15984,-2.681,0.807,-52.773
-179.69,-757.81,16086,-2.681,0.807,-52.773
-265.63,-703.13,16234,-2.675,0.807,-52.773
-296.88,-726.56,16070,-2.675,0.807,-52.773
-250,-757.81,15969,-2.678,0.807,-52.773
-203.13,-789.06,15867,-2.681,0.807,-52.773
-328.13,-789.06,15914,-2.681,0.807,-52.773
-257.81,-757.81,15867,-2.681,0.807,-52.773
-304.69,-710.94,16039,-2.675,0.807,-52.773
-203.13,-710.94,16070,-2.675,0.807,-52.773
-109.38,-703.13,16094,-2.675,0.807,-52.773
