x,y,z,roll,pitch,yaw
-265.63,-703.13,16313,-2.774,0.758,-46.741
-140.63,-789.06,16008,-2.78,0.758,-46.741
-195.31,-757.81,15891,-2.78,0.758,-46.741
-156.25,-796.88,15664,-2.78,0.758,-46.741
-273.44,-828.13,16039,-2.78,0.764,-46.741
-312.5,-796.88,16031,-2.774,0.764,-46.741
-234.38,-687.5,15945,-2.774,0.758,-46.741
-109.38,-726.56,16109,-2.774,0.753,-46.741
-171.88,-796.88,16000,-2.78,0.758,-46.741
-343.75,-796.88,15953,-2.78,0.758,-46.741
-210.94,-875,15852,-2.785,0.764,-46.741
-375,-726.56,15875,-2.78,0.758,-46.741
-210.94,-796.88,15891,-2.774,0.758,-46.741
-78.125,-804.69,16219,-2.774,0.758,-46.741
-250,-656.25,16305,-2.774,0.758,-46.741
-109.38,-898.44,16211,-2.78,0.758,-46.741
-199.22,-820.31,15953,-2.7825,0.761,-46.741
-289.06,-742.19,15695,-2.785,0.764,-46.741
-187.5,-781.25,15852,-2.78,0.764,-46.741
-218.75,-734.38,16336,-2.774,0.758,-46.741
-210.94,-765.63,16328,-2.774,0.758,-46.741
-148.44,-789.06,16227,-2.774,0.758,-46.741
-187.5,-734.38,15766,-2.78,0.758,-46.741
-265.63,-773.44,15727,-2.78,0.758,-46.741
-171.88,-828.13,15969,-2.78,0.758,-46.741
-351.56,-757.81,16180,-2.774,0.764,-46.741
-281.25,-648.44,16086,-2.774,0.764,-46.747
-7.8125,-804.69,16023,-2.774,0.758,-46.747
-203.13,-695.31,16133,-2.78,0.758,-46.747
-195.31,-867.19,15805,-2.78,0.764,-46.747
-328.13,-757.81,16063,-2.78,0.764,-46.747
-320.31,-750,15984,-2.78,0.764,-46.747
-171.88,-765.63,15852,-2.774,0.758,-46.747
-164.06,-781.25,16027,-2.774,0.758,-46.747
-156.25,-796.88,16203,-2.774,0.758,-46.747
-171.88,-851.56,16227,-2.78,0.758,-46.747
-218.75,-843.75,15813,-2.78,0.758,-46.747
-281.25,-765.63,15688,-2.78,0.758,-46.747
-187.5,-773.44,15703,-2.774,0.758,-46.747
-187.5,-656.25,16094,-2.774,0.758,-46.747
-226.56,-742.19,16383,-2.774,0.758,-46.747
-187.5,-804.69,16109,-2.774,0.758,-46.747
-250,-742.19,15852,-2.78,0.758,-46.747
-187.5,-851.56,15758,-2.78,0.758,-46.747
-242.19,-773.44,15734,-2.78,0.764,-46.747
-328.13,-703.13,16117,-2.78,0.764,-46.747
-117.19,-757.81,16188,-2.774,0.758,-46.747
-117.19,-710.94,16102,-2.774,0.758,-46.747
-78.125,-804.69,16117,-2.78,0.758,-46.747
-257.81,-781.25,15961,-2.78,0.758,-46.747
-281.25,-789.06,15906,-2.78,0.761,-46.747
-304.69,-796.88,15852,-2.78,0.764,-46.747
-234.38,-710.94,15961,-2.774,0.758,-46.747
-156.25,-726.56,15984,-2.774,0.758,-46.747
-125,-757.81,16133,-2.774,0.758,-46.747
-187.5,-773.44,16148,-2.78,0.758,-46.747
-281.25,-859.38,16031,-2.785,0.764,-46.747
-312.5,-828.13,15703,-2.785,0.764,-46.747
-296.88,-757.81,15641,-2.78,0.764,-46.747
-187.5,-710.94,16172,-2.78,0.758,-46.747
-78.125,-734.38,16375,-2.774,0.758,-46.747
-210.94,-757.81,16375,-2.78,0.758,-46.747
-218.75,-820.31,16000,-2.78,0.758,-46.747
-171.88,-820.31,15633,-2.785,0.758,-46.747
-304.69,-789.06,15789,-2.785,0.758,-46.747
-250,-828.13,15953,-2.78,0.758,-46.747
-242.19,-710.94,16289,-2.774,0.758,-46.747
-125,-734.38,16250,-2.774,0.758,-46.747
-140.63,-734.38,16008,-2.78,0.758,-46.747
-234.38,-757.81,15773,-2.78,0.758,-46.747
-257.81,-851.56,15664,-2.785,0.758,-46.747
-328.13,-765.63,15953,-2.785,0.758,-46.747
-257.81,-812.5,15992,-2.78,0.758,-46.747
-93.75,-679.69,15961,-2.78,0.758,-46.747
-156.25,-703.13,16273,-2.78,0.753,-46.747
-101.56,-812.5,16141,-2.785,0.758,-46.747
-257.81,-851.56,16063,-2.785,0.758,-46.747
-375,-835.94,15695,-2.791,0.758,-46.747
-257.81,-718.75,15594,-2.785,0.758,-46.747
-171.88,-734.38,15945,-2.78,0.753,-46.747
-117.19,-679.69,16242,-2.774,0.753,-46.747
-140.63,-773.44,16453,-2.78,0.753,-46.747
-296.88,-796.88,15953,-2.785,0.758,-46.747
-281.25,-804.69,15594,-2.785,0.758,-46.747
-250,-789.06,15000,-2.791,0.758,-46.747
-304.69,-765.63,15797,-2.785,0.758,-46.747
-257.81,-703.13,16219,-2.78,0.758,-46.747
-195.31,-726.56,16367,-2.78,0.753,-46.747
-156.25,-734.38,16125,-2.785,0.753,-46.747
-125,-804.69,15914,-2.785,0.753,-46.747
-218.75,-828.13,15805,-2.791,0.758,-46.747
-226.56,-835.94,15922,-2.791,0.758,-46.747
-289.06,-750,16031,-2.791,0.758,-46.747
-156.25,-742.19,15992,-2.78,0.758,-46.747
-179.69,-632.81,16086,-2.78,0.753,-46.747
-218.75,-757.81,16156,-2.78,0.753,-46.747
-195.31,-875,15984,-2.785,0.758,-46.747
-351.56,-750,15984,-2.791,0.758,-46.747
-242.19,-906.25,15609,-2.785,0.758,-46.747
-351.56,-695.31,15797,-2.78,0.758,-46.747
-210.94,-640.63,16359,-2.78,0.753,-46.747
-242.19,-718.75,16336,-2.7825,0.7555,-46.747
-273.44,-796.88,16313,-2.785,0.758,-46.747
-179.69,-828.13,15836,-2.785,0.758,-46.747
-273.44,-765.63,15727,-2.785,0.758,-46.747
-273.44,-781.25,15930,-2.785,0.758,-46.747
-218.75,-726.56,16023,-2.785,0.758,-46.747
-156.25,-789.06,16336,-2.78,0.758,-46.747
-179.69,-734.38,16250,-2.78,0.753,-46.747
-226.56,-718.75,15758,-2.785,0.758,-46.747
-117.19,-804.69,15734,-2.785,0.758,-46.747
-320.31,-742.19,15961,-2.785,0.758,-46.747
-171.88,-882.81,15969,-2.785,0.758,-46.747
-304.69,-726.56,16180,-2.78,0.758,-46.747
-210.94,-679.69,16125,-2.78,0.758,-46.747
-54.688,-796.88,15984,-2.78,0.753,-46.747
-242.19,-789.06,16023,-2.785,0.758,-46.747
-234.38,-851.56,15891,-2.791,0.758,-46.747
-328.13,-800,15938,-2.785,0.758,-46.747
-242.19,-726.56,15781,-2.785,0.758,-46.747
-156.25,-695.31,16063,-2.78,0.753,-46.747
-46.875,-750,16336,-2.78,0.753,-46.747
-203.13,-765.63,16148,-2.785,0.753,-46.747
-281.25,-781.25,15836,-2.785,0.753,-46.747
-242.19,-796.88,15648,-2.785,0.753,-46.747
-289.06,-757.81,15758,-2.785,0.753,-46.747
-187.5,-773.44,16039,-2.78,0.753,-46.747
-203.13,-703.13,16211,-2.78,0.747,-46.747
-250,-703.13,16297,-2.78,0.747,-46.747
-140.63,-804.69,15852,-2.78,0.753,-46.747
