x,y,z,roll,pitch,yaw
-203.13,-632.81,16250,-2.576,0.813,11.354
-125,-898.44,15586,-2.587,0.813,11.354
-203.13,-851.56,15852,-2.582,0.818,11.354
-250,-609.38,16320,-2.571,0.818,11.349
-226.56,-570.31,16086,-2.576,0.818,11.349
-187.5,-914.06,15758,-2.587,0.813,11.354
-179.69,-914.06,16000,-2.582,0.813,11.349
-156.25,-562.5,15922,-2.565,0.818,11.349
-273.44,-593.75,16281,-2.571,0.818,11.349
-250,-867.19,16047,-2.582,0.818,11.349
-132.81,-859.38,15523,-2.582,0.818,11.349
-250,-695.31,16078,-2.571,0.818,11.349
-210.94,-593.75,16461,-2.576,0.818,11.349
-132.81,-843.75,15695,-2.587,0.818,11.349
-257.81,-914.06,15844,-2.587,0.818,11.349
-273.44,-609.38,16297,-2.576,0.818,11.349
-210.94,-578.13,16219,-2.576,0.818,11.349
-179.69,-867.19,15914,-2.587,0.818,11.349
-265.63,-882.81,15766,-2.587,0.818,11.349
-210.94,-671.88,15922,-2.576,0.818,11.349
-257.81,-523.44,16219,-2.576,0.818,11.349
-203.13,-828.13,15984,-2.587,0.818,11.349
-210.94,-960.94,15586,-2.593,0.818,11.349
-187.5,-640.63,16055,-2.576,0.818,11.349
-281.25,-500,16383,-2.576,0.818,11.349
-226.56,-820.31,16023,-2.587,0.818,11.349
-156.25,-843.75,15656,-2.587,0.818,11.349
-187.5,-718.75,16039,-2.576,0.818,11.349
-273.44,-578.13,16336,-2.576,0.818,11.349
-210.94,-726.56,15867,-2.587,0.818,11.349
-187.5,-945.31,15789,-2.593,0.818,11.349
-226.56,-750,16063,-2.582,0.818,11.349
-195.31,-507.81,16148,-2.576,0.818,11.349
-242.19,-796.88,16133,-2.587,0.818,11.349
-179.69,-914.06,15781,-2.593,0.818,11.349
-164.06,-781.25,15820,-2.582,0.818,11.349
-320.31,-562.5,16328,-2.576,0.818,11.349
-171.88,-781.25,16195,-2.587,0.818,11.349
-179.69,-890.63,15453,-2.593,0.818,11.349
-242.19,-781.25,15984,-2.582,0.818,11.349
-265.63,-585.94,16484,-2.576,0.818,11.349
-218.75,-695.31,15820,-2.582,0.818,11.349
-218.75,-851.56,15820,-2.593,0.818,11.349
-250,-773.44,15977,-2.582,0.818,11.349
-203.13,-585.94,16086,-2.571,0.818,11.349
-281.25,-687.5,16141,-2.582,0.818,11.349
-117.19,-906.25,15750,-2.593,0.818,11.349
-187.5,-843.75,15789,-2.587,0.818,11.349
-250,-500,16188,-2.576,0.818,11.349
-257.81,-679.69,16234,-2.582,0.818,11.349
-195.31,-953.13,15734,-2.593,0.813,11.349
-125,-765.63,15703,-2.587,0.813,11.349
-289.06,-601.56,16336,-2.576,0.818,11.349
-210.94,-648.44,16227,-2.582,0.813,11.349
-125,-804.69,15609,-2.587,0.813,11.349
-218.75,-882.81,15977,-2.587,0.818,11.349
-257.81,-593.75,16250,-2.576,0.818,11.349
-218.75,-617.19,16078,-2.576,0.818,11.349
-234.38,-898.44,15898,-2.587,0.818,11.349
-117.19,-843.75,15914,-2.582,0.813,11.349
-203.13,-539.06,15945,-2.571,0.818,11.349
-273.44,-617.19,16391,-2.576,0.818,11.349
-203.13,-843.75,15914,-2.587,0.818,11.349
-218.75,-906.25,15469,-2.582,0.813,11.349
-265.63,-554.69,16148,-2.571,0.818,11.349
-250,-578.13,16469,-2.571,0.813,11.349
-164.06,-812.5,15531,-2.587,0.813,11.349
-187.5,-906.25,15828,-2.587,0.813,11.349
-242.19,-648.44,16227,-2.571,0.818,11.349
-164.06,-570.31,16086,-2.571,0.818,11.349
-187.5,-828.13,15984,-2.582,0.818,11.349
-195.31,-875,15875,-2.582,0.813,11.349
-195.31,-656.25,15992,-2.571,0.818,11.349
-296.88,-585.94,16219,-2.571,0.818,11.349
-265.63,-828.13,16055,-2.582,0.818,11.349
-140.63,-898.44,15727,-2.582,0.813,11.349
-203.13,-640.63,15898,-2.571,0.818,11.349
-250,-578.13,16500,-2.571,0.818,11.349
-203.13,-789.06,15922,-2.582,0.818,11.349
-132.81,-875,15695,-2.582,0.813,11.349
-328.13,-757.81,16133,-2.576,0.818,11.349
-226.56,-539.06,16297,-2.571,0.818,11.349
-148.44,-781.25,15898,-2.582,0.813,11.349
-171.88,-898.44,15703,-2.587,0.813,11.349
-210.94,-703.13,16078,-2.576,0.813,11.349
-250,-523.44,16125,-2.571,0.813,11.349
-210.94,-757.81,16031,-2.582,0.813,11.349
-210.94,-851.56,15906,-2.587,0.813,11.349
-226.56,-742.19,15633,-2.576,0.813,11.349
-242.19,-554.69,16328,-2.571,0.813,11.349
-242.19,-750,16227,-2.582,0.813,11.349
-195.31,-851.56,15477,-2.587,0.807,11.349
-218.75,-765.63,16023,-2.576,0.813,11.349
-281.25,-562.5,16367,-2.571,0.813,11.349
-234.38,-695.31,15977,-2.576,0.813,11.349
-179.69,-906.25,15805,-2.587,0.813,11.349
-226.56,-734.38,16016,-2.582,0.813,11.349
-203.13,-570.31,16188,-2.571,0.813,11.349
-195.31,-648.44,16031,-2.576,0.813,11.349
-242.19,-937.5,15883,-2.587,0.813,11.349
-226.56,-835.94,15703,-2.582,0.813,11.349
-187.5,-515.63,16172,-2.571,0.813,11.349
-289.06,-703.13,16359,-2.576,0.813,11.349
-187.5,-828.13,15648,-2.587,0.813,11.349
-171.88,-789.06,15875,-2.582,0.813,11.349
-296.88,-648.44,16266,-2.571,0.813,11.349
-265.63,-593.75,16164,-2.576,0.813,11.349
-218.75,-851.56,15836,-2.587,0.813,11.349
-148.44,-828.13,15734,-2.582,0.813,11.349
-210.94,-632.81,16219,-2.571,0.813,11.349
-281.25,-640.63,16000,-2.576,0.813,11.349
-257.81,-867.19,15883,-2.587,0.813,11.349
-187.5,-921.88,15922,-2.582,0.813,11.349
-234.38,-617.19,15750,-2.571,0.813,11.349
-210.94,-617.19,16492,-2.576,0.813,11.349
-257.81,-789.06,15898,-2.587,0.813,11.349
-179.69,-859.38,15547,-2.582,0.813,11.349
-281.25,-640.63,16172,-2.576,0.813,11.349
-210.94,-632.81,16289,-2.576,0.813,11.349
-234.38,-804.69,15766,-2.582,0.813,11.349
-171.88,-835.94,15898,-2.582,0.813,11.349
-250,-687.5,16211,-2.576,0.813,11.349
-265.63,-523.44,16180,-2.571,0.813,11.349
-187.5,-781.25,15953,-2.582,0.813,11.349
-218.75,-906.25,15930,-2.582,0.813,11.349
-171.88,-687.5,15813,-2.571,0.813,11.349
-257.81,-515.63,16273,-2.571,0.813,11.349
-148.44,-875,16016,-2.582,0.813,11.349
-164.06,-890.63,15492,-2.587,0.813,11.349
-234.38,-695.31,15961,-2.576,0.813,11.349
-296.88,-585.94,16375,-2.571,0.813,11.349
-226.56,-773.44,15953,-2.582,0.813,11.349
-187.5,-882.81,15570,-2.582,0.813,11.349
-242.19,-695.31,16086,-2.576,0.813,11.349
-226.56,-632.81,16281,-2.571,0.813,11.349
-250,-765.63,15844,-2.582,0.807,11.349
-218.75,-898.44,15891,-2.587,0.807,11.349
-242.19,-718.75,16000,-2.576,0.807,11.349
-226.56,-546.88,16141,-2.565,0.807,11.349
-210.94,-726.56,16227,-2.582,0.807,11.349
-210.94,-960.94,15750,-2.587,0.807,11.349
-148.44,-835.94,15711,-2.576,0.807,11.349
-250,-531.25,16359,-2.565,0.813,11.349
-250,-695.31,16250,-2.576,0.807,11.349
-148.44,-890.63,15516,-2.582,0.807,11.349
-250,-765.63,15875,-2.576,0.813,11.349
-281.25,-601.56,16375,-2.571,0.813,11.349
-234.38,-695.31,15867,-2.576,0.813,11.349
-195.31,-882.81,15719,-2.587,0.807,11.349
-250,-859.38,16055,-2.576,0.807,11.349
-218.75,-476.56,16039,-2.571,0.807,11.349
-257.81,-625,16258,-2.576,0.813,11.349
-257.81,-953.13,15836,-2.587,0.807,11.349
-187.5,-812.5,15688,-2.576,0.807,11.349
-187.5,-593.75,16156,-2.565,0.813,11.349
-234.38,-640.63,16336,-2.571,0.807,11.349
-179.69,-820.31,15781,-2.582,0.807,11.349
-195.31,-859.38,15656,-2.576,0.807,11.349
-250,-632.81,16266,-2.565,0.813,11.349
-234.38,-648.44,16219,-2.571,0.807,11.349
-156.25,-867.19,15602,-2.576,0.807,11.349
-273.44,-851.56,15984,-2.576,0.807,11.349
-210.94,-578.13,16141,-2.565,0.807,11.349
-273.44,-601.56,16156,-2.571,0.813,11.349
-265.63,-914.06,15961,-2.582,0.813,11.349
-179.69,-890.63,15758,-2.576,0.807,11.349
-187.5,-585.94,15992,-2.565,0.813,11.349
-250,-578.13,16320,-2.565,0.813,11.349
-250,-875,15891,-2.576,0.813,11.349
-156.25,-921.88,15563,-2.582,0.807,11.349
-210.94,-664.06,16125,-2.565,0.813,11.349
-257.81,-695.31,16336,-2.571,0.813,11.349
-226.56,-796.88,15648,-2.576,0.807,11.349
-265.63,-890.63,15852,-2.576,0.813,11.349
-281.25,-679.69,16109,-2.565,0.813,11.349
-218.75,-515.63,16086,-2.565,0.813,11.349
-218.75,-828.13,16031,-2.576,0.813,11.349
-203.13,-960.94,15711,-2.582,0.813,11.349
-195.31,-648.44,15922,-2.565,0.813,11.349
-265.63,-570.31,16297,-2.565,0.813,11.349
-187.5,-851.56,16000,-2.582,0.807,11.349
-203.13,-921.88,15578,-2.582,0.807,11.349
-171.88,-734.38,15977,-2.571,0.807,11.349
-289.06,-546.88,16492,-2.565,0.813,11.349
-187.5,-742.19,15922,-2.576,0.813,11.349
-164.06,-890.63,15672,-2.582,0.807,11.349
-203.13,-773.44,16148,-2.571,0.813,11.349
-242.19,-531.25,16195,-2.571,0.813,11.349
-203.13,-796.88,15984,-2.582,0.813,11.349
-195.31,-812.5,15734,-2.582,0.813,11.349
-218.75,-765.63,15914,-2.571,0.813,11.349
-257.81,-500,16117,-2.571,0.813,11.349
-226.56,-750,16180,-2.576,0.813,11.349
-226.56,-976.56,15672,-2.587,0.813,11.349
-218.75,-765.63,15688,-2.576,0.813,11.349
-265.63,-492.19,16453,-2.565,0.813,11.349
-195.31,-734.38,16148,-2.576,0.813,11.349
-179.69,-859.38,15531,-2.587,0.807,11.349
-203.13,-835.94,15945,-2.576,0.813,11.349
-304.69,-570.31,16242,-2.571,0.813,11.349
-257.81,-640.63,15984,-2.576,0.813,11.349
-132.81,-875,15844,-2.587,0.807,11.349
-203.13,-851.56,16047,-2.576,0.813,11.349
-171.88,-523.44,16125,-2.565,0.813,11.349
-296.88,-640.63,16195,-2.571,0.813,11.349
-226.56,-937.5,15945,-2.582,0.807,11.349
-187.5,-859.38,15617,-2.576,0.807,11.349
-250,-570.31,16141,-2.565,0.807,11.349
-250,-640.63,16445,-2.571,0.807,11.349
-132.81,-812.5,15594,-2.582,0.807,11.349
-242.19,-921.88,15750,-2.582,0.807,11.349
-257.81,-640.63,16320,-2.571,0.813,11.349
-203.13,-578.13,16125,-2.571,0.813,11.349
-203.13,-867.19,15844,-2.587,0.807,11.349
-187.5,-835.94,15852,-2.582,0.807,11.349
-195.31,-687.5,16102,-2.571,0.807,11.349
-273.44,-562.5,16188,-2.571,0.813,11.349
-210.94,-828.13,15961,-2.582,0.807,11.349
-250,-937.5,15711,-2.582,0.807,11.349
-179.69,-617.19,15867,-2.571,0.807,11.349
-257.81,-546.88,16516,-2.571,0.807,11.349
-210.94,-843.75,15930,-2.582,0.807,11.349
-164.06,-906.25,15477,-2.582,0.807,11.349
-265.63,-687.5,16063,-2.571,0.813,11.349
-218.75,-640.63,16336,-2.571,0.813,11.349
-234.38,-773.44,15750,-2.582,0.807,11.349
-156.25,-937.5,15695,-2.582,0.807,11.349
-289.06,-710.94,16148,-2.571,0.813,11.349
-179.69,-515.63,16211,-2.565,0.813,11.349
-257.81,-789.06,15867,-2.582,0.813,11.349
-218.75,-960.94,15930,-2.587,0.813,11.349
-218.75,-664.06,15719,-2.571,0.813,11.349
-242.19,-585.94,16313,-2.571,0.813,11.349
-242.19,-796.88,16117,-2.582,0.813,11.349
-179.69,-835.94,15516,-2.587,0.807,11.349
-218.75,-757.81,15984,-2.576,0.813,11.349
-273.44,-531.25,16414,-2.571,0.813,11.349
-203.13,-703.13,15938,-2.576,0.813,11.349
-187.5,-929.69,15672,-2.587,0.813,11.349
-242.19,-765.63,15984,-2.576,0.813,11.349
-265.63,-554.69,16188,-2.571,0.813,11.349
-234.38,-742.19,15961,-2.582,0.813,11.349
-179.69,-960.94,15773,-2.587,0.813,11.349
-250,-828.13,15820,-2.576,0.813,11.349
-226.56,-539.06,16164,-2.571,0.813,11.349
-203.13,-703.13,16211,-2.576,0.813,11.349
-218.75,-937.5,15734,-2.587,0.813,11.349
-187.5,-703.13,15820,-2.576,0.813,11.349
-226.56,-585.94,16383,-2.571,0.813,11.349
-257.81,-671.88,16148,-2.576,0.813,11.349
-109.38,-835.94,15656,-2.587,0.813,11.349
-234.38,-835.94,15836,-2.576,0.813,11.349
-234.38,-617.19,16234,-2.571,0.813,11.349
-257.81,-617.19,16000,-2.576,0.813,11.349
-156.25,-906.25,15734,-2.587,0.813,11.349
-195.31,-820.31,15984,-2.582,0.813,11.349
-195.31,-539.06,15938,-2.571,0.813,11.349
-242.19,-656.25,16328,-2.576,0.813,11.349
-226.56,-914.06,15875,-2.587,0.813,11.349
-156.25,-828.13,15625,-2.582,0.813,11.349
-289.06,-593.75,16195,-2.571,0.813,11.349
-226.56,-632.81,16258,-2.576,0.813,11.349
-234.38,-875,15680,-2.582,0.813,11.349
-203.13,-828.13,15672,-2.582,0.813,11.349
-265.63,-640.63,16359,-2.571,0.813,11.349
-257.81,-695.31,16133,-2.571,0.813,11.349
-132.81,-804.69,15773,-2.582,0.813,11.349
-195.31,-890.63,16039,-2.582,0.813,11.349
-218.75,-617.19,15898,-2.571,0.813,11.349
-304.69,-593.75,16203,-2.571,0.813,11.349
-187.5,-859.38,16023,-2.582,0.813,11.349
-210.94,-890.63,15602,-2.582,0.813,11.349
-195.31,-679.69,16000,-2.571,0.818,11.349
-273.44,-593.75,16297,-2.571,0.818,11.349
-218.75,-835.94,15984,-2.582,0.813,11.349
-156.25,-843.75,15625,-2.582,0.813,11.349
-281.25,-671.88,16086,-2.571,0.813,11.349
-257.81,-593.75,16500,-2.571,0.813,11.349
-195.31,-773.44,15633,-2.582,0.813,11.349
-218.75,-890.63,15828,-2.587,0.813,11.349
-257.81,-695.31,16125,-2.571,0.813,11.349
-156.25,-523.44,16063,-2.565,0.813,11.349
-210.94,-820.31,16078,-2.582,0.813,11.349
-203.13,-914.06,15750,-2.582,0.813,11.349
-179.69,-742.19,15688,-2.571,0.813,11.349
-312.5,-601.56,16281,-2.571,0.813,11.349
-179.69,-773.44,16227,-2.582,0.813,11.349
-164.06,-921.88,15422,-2.587,0.813,11.349
-195.31,-703.13,15914,-2.576,0.813,11.349
-210.94,-531.25,16563,-2.571,0.813,11.349
-234.38,-718.75,15828,-2.582,0.813,11.349
-117.19,-960.94,15688,-2.587,0.813,11.349
-265.63,-742.19,16086,-2.576,0.813,11.349
-234.38,-515.63,16203,-2.571,0.813,11.349
-257.81,-664.06,16109,-2.582,0.813,11.349
-203.13,-937.5,15820,-2.587,0.813,11.349
-234.38,-796.88,15867,-2.582,0.813,11.349
-265.63,-523.44,16227,-2.571,0.813,11.349
-226.56,-734.38,16164,-2.582,0.813,11.349
-210.94,-945.31,15781,-2.593,0.813,11.349
-140.63,-765.63,15641,-2.582,0.813,11.349
-289.06,-617.19,16305,-2.571,0.813,11.349
-226.56,-671.88,16203,-2.582,0.813,11.349
-195.31,-882.81,15445,-2.587,0.813,11.349
-250,-882.81,15828,-2.582,0.813,11.349
-234.38,-539.06,16289,-2.571,0.813,11.349
-273.44,-671.88,16000,-2.582,0.813,11.349
-164.06,-929.69,15797,-2.593,0.813,11.349
-250,-851.56,15953,-2.587,0.813,11.349
-203.13,-515.63,16039,-2.571,0.813,11.349
-273.44,-601.56,16250,-2.582,0.813,11.349
-203.13,-914.06,15977,-2.593,0.807,11.349
-171.88,-898.44,15531,-2.587,0.807,11.349
-234.38,-585.94,16203,-2.576,0.813,11.349
-203.13,-695.31,16398,-2.576,0.813,11.349
-218.75,-843.75,15563,-2.593,0.807,11.349
-171.88,-859.38,15859,-2.587,0.813,11.349
-281.25,-617.19,16227,-2.576,0.813,11.349
-257.81,-523.44,16156,-2.576,0.813,11.349
-140.63,-804.69,15930,-2.593,0.807,11.349
-226.56,-945.31,15758,-2.587,0.807,11.349
-203.13,-617.19,15992,-2.576,0.807,11.349
-226.56,-531.25,16281,-2.576,0.807,11.349
-218.75,-914.06,15883,-2.587,0.807,11.349
-250,-898.44,15641,-2.587,0.807,11.349
-218.75,-632.81,16094,-2.576,0.807,11.349
-304.69,-578.13,16406,-2.576,0.807,11.349
-234.38,-781.25,15891,-2.587,0.807,11.349
-148.44,-898.44,15617,-2.587,0.807,11.349
-257.81,-687.5,15969,-2.576,0.807,11.349
-171.88,-562.5,16414,-2.576,0.807,11.349
-218.75,-804.69,15766,-2.587,0.807,11.349
-179.69,-929.69,15703,-2.593,0.807,11.349
-250,-742.19,16102,-2.582,0.807,11.349
-242.19,-500,16078,-2.576,0.807,11.349
-226.56,-734.38,16148,-2.587,0.807,11.349
-132.81,-960.94,15891,-2.598,0.807,11.349
-164.06,-703.13,15625,-2.582,0.807,11.349
-320.31,-492.19,16477,-2.576,0.807,11.349
-289.06,-757.81,16133,-2.587,0.807,11.349
-164.06,-921.88,15453,-2.593,0.807,11.349
-218.75,-718.75,16078,-2.587,0.807,11.349
-289.06,-601.56,16359,-2.576,0.807,11.349
-203.13,-742.19,15914,-2.587,0.807,11.349
-164.06,-867.19,15680,-2.593,0.802,11.349
-250,-820.31,15977,-2.582,0.802,11.349
-218.75,-570.31,16094,-2.576,0.802,11.349
-156.25,-671.88,16023,-2.582,0.802,11.349
-226.56,-968.75,15898,-2.593,0.802,11.349
-171.88,-828.13,15719,-2.582,0.802,11.349
-210.94,-570.31,16219,-2.571,0.802,11.349
