x,y,z,roll,pitch,yaw
-156.25,-679.69,15859,-2.39,0.555,-75.031
-101.56,-617.19,16031,-2.379,0.555,-75.031
-117.19,-703.13,16328,-2.379,0.555,-75.031
-132.81,-757.81,15789,-2.39,0.555,-75.031
-195.31,-640.63,15617,-2.39,0.555,-75.031
-242.19,-601.56,16281,-2.379,0.555,-75.031
117.19,-671.88,16227,-2.379,0.549,-75.031
-117.19,-695.31,15727,-2.384,0.555,-75.031
-328.13,-679.69,15938,-2.39,0.555,-75.031
-109.38,-710.94,16219,-2.384,0.555,-75.031
-23.438,-664.06,16078,-2.379,0.549,-75.031
-179.69,-765.63,15961,-2.384,0.549,-75.031
-218.75,-742.19,15844,-2.39,0.555,-75.031
-70.313,-664.06,15891,-2.379,0.549,-75.031
-78.125,-679.69,16219,-2.384,0.549,-75.031
-156.25,-757.81,15969,-2.384,0.549,-75.031
-78.125,-734.38,15703,-2.39,0.549,-75.031
-187.5,-664.06,16086,-2.379,0.549,-75.031
-148.44,-695.31,16406,-2.379,0.549,-75.031
-78.125,-742.19,15789,-2.39,0.549,-75.031
-179.69,-718.75,15844,-2.39,0.555,-75.031
-203.13,-687.5,16148,-2.379,0.549,-75.031
-39.063,-664.06,16047,-2.379,0.544,-75.031
-117.19,-679.69,15906,-2.384,0.549,-75.031
-289.06,-734.38,16008,-2.39,0.549,-75.031
-93.75,-710.94,15844,-2.379,0.549,-75.031
-101.56,-570.31,16133,-2.379,0.549,-75.031
-257.81,-703.13,16195,-2.384,0.549,-75.031
-101.56,-750,15781,-2.39,0.549,-75.031
-218.75,-656.25,15820,-2.379,0.549,-75.031
-195.31,-664.06,16367,-2.379,0.549,-75.031
-31.25,-742.19,15906,-2.384,0.544,-75.031
-195.31,-726.56,15633,-2.39,0.549,-75.031
-320.31,-664.06,15977,-2.384,0.549,-75.031
-140.63,-648.44,16227,-2.379,0.544,-75.031
-78.125,-664.06,15961,-2.39,0.544,-75.031
-289.06,-773.44,15914,-2.39,0.549,-75.031
-218.75,-617.19,16008,-2.384,0.544,-75.031
-78.125,-664.06,16094,-2.379,0.544,-75.031
-164.06,-640.63,16266,-2.39,0.549,-75.031
-242.19,-710.94,15922,-2.395,0.549,-75.031
-148.44,-718.75,15805,-2.384,0.549,-75.031
-171.88,-632.81,16203,-2.379,0.549,-75.031
-140.63,-710.94,16289,-2.39,0.549,-75.031
-85.938,-750,15727,-2.395,0.549,-75.031
-164.06,-687.5,15734,-2.384,0.549,-75.031
-148.44,-671.88,16375,-2.379,0.549,-75.031
-7.8125,-687.5,16008,-2.384,0.549,-75.031
-148.44,-695.31,15789,-2.39,0.549,-75.031
-265.63,-695.31,15984,-2.39,0.549,-75.031
-39.063,-687.5,16055,-2.379,0.544,-75.031
-46.875,-648.44,16148,-2.384,0.549,-75.031
-265.63,-742.19,15992,-2.395,0.549,-75.031
-117.19,-734.38,15766,-2.39,0.549,-75.031
-101.56,-656.25,16047,-2.384,0.549,-75.031
-234.38,-679.69,16320,-2.384,0.549,-75.031
-125,-687.5,15805,-2.39,0.549,-75.031
-257.81,-679.69,15703,-2.39,0.549,-75.031
-187.5,-632.81,16172,-2.384,0.549,-75.031
-85.938,-671.88,16133,-2.384,0.549,-75.031
-140.63,-687.5,15766,-2.39,0.549,-75.031
-281.25,-710.94,16039,-2.39,0.549,-75.031
