x,y,z,roll,pitch,yaw
-382.81,-796.88,15930,-2.39,0.538,-76.157
-78.125,-726.56,15875,-2.384,0.533,-76.157
-109.38,-609.38,16039,-2.373,0.538,-76.157
-187.5,-671.88,16273,-2.384,0.538,-76.157
-62.5,-750,15586,-2.395,0.538,-76.157
-140.63,-632.81,15547,-2.384,0.538,-76.157
-273.44,-585.94,16266,-2.379,0.538,-76.157
-54.688,-695.31,16313,-2.384,0.533,-76.157
-101.56,-687.5,15500,-2.39,0.538,-76.157
-351.56,-640.63,15875,-2.39,0.544,-76.157
-62.5,-632.81,16359,-2.379,0.533,-76.157
62.5,-625,15945,-2.384,0.533,-76.157
-265.63,-734.38,15789,-2.395,0.544,-76.157
-210.94,-742.19,15805,-2.39,0.538,-76.157
-39.063,-593.75,16188,-2.373,0.533,-76.157
-265.63,-710.94,16242,-2.384,0.538,-76.157
-101.56,-710.94,15672,-2.395,0.538,-76.157
-156.25,-648.44,15648,-2.39,0.538,-76.157
-218.75,-593.75,16453,-2.379,0.538,-76.157
0,-726.56,16047,-2.384,0.533,-76.157
23.438,-742.19,15672,-2.39,0.538,-76.157
-289.06,-718.75,15617,-2.39,0.544,-76.157
-226.56,-695.31,16289,-2.379,0.538,-76.157
7.8125,-671.88,15922,-2.379,0.533,-76.157
-171.88,-695.31,15727,-2.39,0.538,-76.157
-398.44,-703.13,15883,-2.39,0.544,-76.157
46.875,-632.81,16031,-2.379,0.533,-76.157
-156.25,-554.69,16258,-2.379,0.538,-76.157
-148.44,-828.13,15797,-2.395,0.538,-76.157
-85.938,-710.94,15625,-2.39,0.538,-76.157
-242.19,-609.38,16273,-2.379,0.538,-76.157
-39.063,-718.75,16414,-2.379,0.533,-76.157
-70.313,-734.38,15648,-2.39,0.533,-76.157
-265.63,-710.94,15711,-2.39,0.538,-76.157
-156.25,-625,16445,-2.379,0.538,-76.157
46.875,-703.13,16102,-2.379,0.527,-76.157
-218.75,-757.81,15680,-2.39,0.538,-76.157
-343.75,-695.31,16000,-2.395,0.544,-76.157
7.8125,-664.06,16234,-2.384,0.538,-76.157
-31.25,-632.81,16250,-2.379,0.533,-76.157
-312.5,-804.69,16016,-2.39,0.538,-76.157
-101.56,-757.81,15766,-2.395,0.538,-76.157
-125,-578.13,16070,-2.384,0.533,-76.157
-226.56,-664.06,16516,-2.379,0.538,-76.157
-54.688,-781.25,15781,-2.39,0.533,-76.157
-210.94,-671.88,15477,-2.395,0.533,-76.157
-367.19,-593.75,16359,-2.384,0.544,-76.157
0,-664.06,16414,-2.379,0.533,-76.157
-132.81,-687.5,15633,-2.39,0.533,-76.157
-359.38,-718.75,15883,-2.395,0.544,-76.157
-46.875,-664.06,16164,-2.384,0.538,-76.157
31.25,-632.81,16094,-2.379,0.533,-76.157
-242.19,-679.69,15906,-2.39,0.538,-76.157
-148.44,-726.56,15664,-2.401,0.544,-76.157
-54.688,-617.19,15844,-2.39,0.538,-76.157
-203.13,-570.31,16484,-2.379,0.538,-76.157
-156.25,-734.38,16047,-2.39,0.538,-76.157
-148.44,-718.75,15523,-2.395,0.538,-76.157
-304.69,-671.88,16094,-2.39,0.538,-76.157
-39.063,-734.38,16586,-2.379,0.538,-76.157
39.063,-757.81,15734,-2.39,0.533,-76.157
-242.19,-742.19,15563,-2.395,0.538,-76.157
-226.56,-664.06,16055,-2.39,0.544,-76.157
78.125,-656.25,16250,-2.379,0.533,-76.157
-148.44,-718.75,15938,-2.384,0.533,-76.157
-335.94,-742.19,15859,-2.395,0.538,-76.157
0,-664.06,16063,-2.39,0.538,-76.157
-125,-562.5,16242,-2.379,0.538,-76.157
-218.75,-734.38,16313,-2.384,0.538,-76.157
-70.313,-796.88,15633,-2.395,0.538,-76.157
-156.25,-710.94,15656,-2.39,0.538,-76.157
-242.19,-664.06,16570,-2.379,0.538,-76.157
7.8125,-734.38,16008,-2.384,0.533,-76.157
-179.69,-671.88,15547,-2.395,0.538,-76.157
-414.06,-687.5,16148,-2.39,0.544,-76.157
0,-679.69,16344,-2.384,0.538,-76.157
-31.25,-679.69,16063,-2.384,0.533,-76.157
-328.13,-781.25,15813,-2.395,0.544,-76.157
-109.38,-703.13,15875,-2.395,0.538,-76.157
-39.063,-625,16023,-2.379,0.533,-76.157
-195.31,-710.94,16125,-2.384,0.538,-76.157
-140.63,-781.25,15758,-2.401,0.538,-76.157
-171.88,-648.44,15586,-2.395,0.538,-76.157
-289.06,-578.13,16281,-2.384,0.538,-76.157
-62.5,-664.06,16375,-2.384,0.538,-76.157
-93.75,-726.56,15609,-2.395,0.538,-76.157
-312.5,-664.06,15773,-2.401,0.544,-76.157
-101.56,-656.25,16469,-2.39,0.544,-76.157
31.25,-679.69,15922,-2.39,0.538,-76.157
-273.44,-703.13,15719,-2.395,0.544,-76.157
-234.38,-710.94,15977,-2.401,0.549,-76.157
15.625,-664.06,16094,-2.39,0.538,-76.157
-85.938,-679.69,16102,-2.384,0.538,-76.157
-210.94,-796.88,16063,-2.401,0.544,-76.157
-31.25,-750,15711,-2.401,0.544,-76.157
-132.81,-617.19,16047,-2.39,0.538,-76.157
-171.88,-648.44,16523,-2.384,0.544,-76.157
15.625,-773.44,15633,-2.395,0.538,-76.157
-140.63,-687.5,15563,-2.395,0.538,-76.157
-304.69,-671.88,16320,-2.39,0.544,-76.157
93.75,-679.69,16242,-2.384,0.538,-76.157
-132.81,-679.69,15719,-2.395,0.538,-76.157
-382.81,-695.31,15977,-2.395,0.549,-76.157
46.875,-687.5,16211,-2.39,0.538,-76.157
31.25,-679.69,16078,-2.379,0.538,-76.157
-281.25,-781.25,16078,-2.39,0.544,-76.157
-132.81,-773.44,15805,-2.401,0.544,-76.157
-101.56,-664.06,15906,-2.39,0.538,-76.157
-218.75,-625,16445,-2.379,0.544,-76.157
-101.56,-781.25,15961,-2.39,0.544,-76.157
-140.63,-710.94,15609,-2.395,0.538,-76.157
-335.94,-617.19,16094,-2.39,0.544,-76.157
-31.25,-671.88,16516,-2.384,0.538,-76.157
-54.688,-718.75,15773,-2.39,0.538,-76.157
-328.13,-687.5,15695,-2.395,0.544,-76.157
-203.13,-671.88,16211,-2.39,0.544,-76.157
0,-578.13,16148,-2.384,0.533,-76.157
-226.56,-695.31,15867,-2.39,0.538,-76.157
-304.69,-757.81,15906,-2.395,0.544,-76.157
-62.5,-640.63,15906,-2.39,0.544,-76.157
-132.81,-585.94,16250,-2.379,0.544,-76.157
-148.44,-765.63,16203,-2.39,0.544,-76.157
-23.438,-796.88,15578,-2.401,0.544,-76.157
-171.88,-664.06,15734,-2.395,0.544,-76.157
-148.44,-664.06,16422,-2.384,0.549,-76.157
93.75,-757.81,15953,-2.39,0.538,-76.157
-195.31,-718.75,15477,-2.395,0.544,-76.157
-304.69,-687.5,16172,-2.395,0.549,-76.157
0,-656.25,16297,-2.384,0.544,-76.157
-46.875,-656.25,16000,-2.39,0.538,-76.157
-296.88,-773.44,15883,-2.401,0.549,-76.157
-93.75,-703.13,15906,-2.395,0.549,-76.157
-31.25,-578.13,16063,-2.384,0.544,-76.157
-226.56,-687.5,16289,-2.39,0.544,-76.157
-148.44,-804.69,15664,-2.401,0.544,-76.157
-70.313,-718.75,15836,-2.395,0.544,-76.157
-296.88,-585.94,16250,-2.384,0.549,-76.157
-78.125,-703.13,16398,-2.384,0.544,-76.157
-93.75,-773.44,15625,-2.395,0.544,-76.157
-328.13,-679.69,15938,-2.395,0.549,-76.157
-85.938,-632.81,16453,-2.384,0.544,-76.157
39.063,-687.5,15977,-2.384,0.538,-76.157
-265.63,-726.56,15695,-2.395,0.544,-76.157
-218.75,-687.5,15953,-2.395,0.549,-76.157
-15.625,-625,15906,-2.384,0.544,-76.157
-210.94,-625,16266,-2.384,0.544,-76.157
-242.19,-750,15969,-2.395,0.549,-76.157
-109.38,-742.19,15680,-2.39,0.549,-76.157
-265.63,-578.13,16086,-2.384,0.549,-76.157
-125,-687.5,16445,-2.39,0.544,-76.157
-15.625,-679.69,15680,-2.395,0.544,-76.157
-234.38,-656.25,15500,-2.395,0.549,-76.157
-140.63,-664.06,16336,-2.384,0.549,-76.157
46.875,-679.69,16063,-2.384,0.544,-76.157
