x,y,z,roll,pitch,yaw
-78.125,-664.06,16328,-2.384,0.538,-75.196
-78.125,-648.44,15695,-2.39,0.544,-75.196
-335.94,-710.94,15766,-2.39,0.549,-75.196
-117.19,-671.88,16070,-2.384,0.544,-75.196
39.063,-585.94,16063,-2.379,0.538,-75.196
-195.31,-718.75,16008,-2.39,0.544,-75.196
-195.31,-765.63,15781,-2.395,0.544,-75.196
-93.75,-648.44,15766,-2.379,0.544,-75.196
-179.69,-593.75,16344,-2.379,0.544,-75.196
-117.19,-750,16219,-2.39,0.544,-75.196
-78.125,-695.31,15484,-2.39,0.544,-75.196
-273.44,-609.38,15945,-2.379,0.544,-75.196
-39.063,-671.88,16297,-2.379,0.538,-75.196
-62.5,-679.69,15695,-2.384,0.538,-75.196
-406.25,-695.31,15836,-2.39,0.549,-75.196
-179.69,-609.38,16258,-2.384,0.544,-75.196
0,-656.25,16016,-2.373,0.538,-75.19
-101.56,-648.44,16063,-2.384,0.544,-75.196
-312.5,-742.19,15898,-2.39,0.544,-75.196
-78.125,-687.5,15820,-2.384,0.544,-75.196
-226.56,-585.94,16086,-2.373,0.544,-75.196
-148.44,-710.94,16148,-2.384,0.544,-75.196
-70.313,-679.69,15508,-2.395,0.544,-75.196
-289.06,-664.06,16156,-2.384,0.544,-75.196
-125,-710.94,16531,-2.379,0.544,-75.196
31.25,-750,15781,-2.384,0.538,-75.19
-296.88,-679.69,15703,-2.39,0.544,-75.196
-187.5,-679.69,16227,-2.384,0.549,-75.196
140.63,-625,16008,-2.379,0.538,-75.19
-132.81,-734.38,16023,-2.379,0.544,-75.196
-320.31,-750,15898,-2.39,0.549,-75.196
0,-703.13,16023,-2.384,0.544,-75.196
-93.75,-687.5,16328,-2.373,0.544,-75.196
-226.56,-718.75,16242,-2.379,0.544,-75.196
-78.125,-750,15602,-2.39,0.544,-75.196
-195.31,-648.44,15773,-2.384,0.544,-75.196
-210.94,-617.19,16508,-2.373,0.544,-75.196
39.063,-718.75,16016,-2.379,0.538,-75.19
-187.5,-718.75,15555,-2.384,0.544,-75.196
-351.56,-648.44,16094,-2.384,0.549,-75.196
0,-656.25,16398,-2.373,0.544,-75.196
70.313,-648.44,16023,-2.379,0.538,-75.19
-210.94,-710.94,15695,-2.384,0.549,-75.196
-171.88,-718.75,16125,-2.384,0.549,-75.196
-46.875,-554.69,16063,-2.373,0.544,-75.196
-156.25,-648.44,16258,-2.373,0.544,-75.196
-179.69,-804.69,15859,-2.39,0.549,-75.196
-125,-648.44,15586,-2.384,0.544,-75.196
-265.63,-632.81,16484,-2.373,0.549,-75.196
-62.5,-718.75,16305,-2.379,0.544,-75.196
-85.938,-671.88,15531,-2.384,0.544,-75.196
-351.56,-671.88,15898,-2.384,0.549,-75.196
-148.44,-664.06,16422,-2.373,0.549,-75.196
46.875,-664.06,15961,-2.373,0.544,-75.196
-265.63,-695.31,15719,-2.379,0.549,-75.196
-335.94,-718.75,15922,-2.384,0.555,-75.196
0,-601.56,16078,-2.373,0.544,-75.196
-117.19,-687.5,16234,-2.368,0.544,-75.196
-226.56,-781.25,16125,-2.384,0.549,-75.196
-70.313,-718.75,15602,-2.384,0.549,-75.196
-132.81,-585.94,16102,-2.373,0.544,-75.196
-156.25,-703.13,16484,-2.368,0.549,-75.196
7.8125,-742.19,15680,-2.379,0.544,-75.196
-179.69,-695.31,15578,-2.384,0.549,-75.196
-234.38,-671.88,16305,-2.379,0.555,-75.196
101.56,-726.56,16344,-2.373,0.544,-75.196
-125,-718.75,15703,-2.384,0.544,-75.196
-328.13,-742.19,15984,-2.384,0.555,-75.196
-31.25,-679.69,16211,-2.379,0.549,-75.196
-15.625,-625,16117,-2.373,0.544,-75.196
-265.63,-742.19,16164,-2.384,0.549,-75.196
-140.63,-750,15836,-2.39,0.549,-75.196
-85.938,-601.56,15891,-2.379,0.544,-75.196
-179.69,-679.69,16570,-2.373,0.544,-75.196
-70.313,-781.25,15969,-2.384,0.544,-75.196
-85.938,-726.56,15656,-2.384,0.544,-75.196
-296.88,-664.06,16023,-2.379,0.549,-75.196
-15.625,-703.13,16477,-2.373,0.544,-75.196
-46.875,-742.19,15828,-2.379,0.538,-75.196
-289.06,-695.31,15641,-2.384,0.549,-75.196
-203.13,-664.06,16211,-2.379,0.549,-75.196
23.438,-625,16117,-2.373,0.538,-75.19
-125,-695.31,15922,-2.379,0.544,-75.196
-320.31,-726.56,15906,-2.39,0.549,-75.196
0,-632.81,15906,-2.379,0.544,-75.196
-109.38,-601.56,16133,-2.373,0.544,-75.196
-218.75,-757.81,16289,-2.379,0.544,-75.196
-78.125,-734.38,15422,-2.384,0.544,-75.196
-203.13,-617.19,15805,-2.379,0.544,-75.196
-226.56,-640.63,16453,-2.373,0.544,-75.196
31.25,-742.19,15898,-2.379,0.538,-75.19
-218.75,-695.31,15602,-2.384,0.538,-75.196
-335.94,-671.88,16133,-2.379,0.544,-75.196
-23.438,-656.25,16352,-2.373,0.538,-75.19
-66.406,-695.31,16148,-2.376,0.538,-75.193
-109.38,-734.38,15945,-2.379,0.538,-75.196
-23.438,-632.81,16117,-2.368,0.533,-75.19
-226.56,-695.31,16250,-2.373,0.538,-75.19
-101.56,-781.25,15672,-2.384,0.538,-75.196
-164.06,-695.31,15773,-2.379,0.538,-75.19
-203.13,-656.25,16391,-2.368,0.544,-75.196
-39.063,-734.38,16383,-2.373,0.538,-75.196
-125,-750,15703,-2.379,0.538,-75.196
-328.13,-695.31,15938,-2.379,0.549,-75.196
-93.75,-687.5,16484,-2.368,0.544,-75.196
70.313,-703.13,15984,-2.368,0.538,-75.19
-234.38,-742.19,15734,-2.379,0.544,-75.196
-210.94,-750,15984,-2.379,0.549,-75.196
23.438,-640.63,16031,-2.368,0.538,-75.19
-109.38,-687.5,16156,-2.368,0.538,-75.19
-265.63,-789.06,16078,-2.379,0.544,-75.196
-109.38,-718.75,15648,-2.373,0.544,-75.196
-148.44,-625,16180,-2.368,0.544,-75.196
-187.5,-687.5,16477,-2.373,0.544,-75.196
0,-734.38,15641,-2.379,0.544,-75.196
-210.94,-640.63,15578,-2.379,0.544,-75.196
-265.63,-640.63,16352,-2.373,0.549,-75.196
15.625,-656.25,16102,-2.368,0.538,-75.19
-187.5,-664.06,15680,-2.379,0.544,-75.196
-390.63,-718.75,16000,-2.379,0.549,-75.196
-93.75,-671.88,16125,-2.368,0.544,-75.196
-54.688,-625,16164,-2.368,0.544,-75.196
-296.88,-750,16031,-2.379,0.549,-75.196
-78.125,-718.75,15688,-2.379,0.544,-75.196
-78.125,-625,15859,-2.368,0.549,-75.196
-179.69,-648.44,16430,-2.368,0.544,-75.196
-46.875,-750,15844,-2.379,0.544,-75.196
-117.19,-695.31,15586,-2.379,0.549,-75.196
-304.69,-625,16203,-2.368,0.549,-75.196
-70.313,-718.75,16477,-2.368,0.544,-75.196
15.625,-734.38,15781,-2.379,0.544,-75.196
-312.5,-757.81,15758,-2.379,0.555,-75.196
-171.88,-687.5,16250,-2.368,0.544,-75.196
85.938,-640.63,16086,-2.362,0.544,-75.196
-218.75,-742.19,16070,-2.379,0.549,-75.196
-265.63,-789.06,15789,-2.379,0.549,-75.196
-31.25,-664.06,15867,-2.368,0.549,-75.196
-117.19,-632.81,16180,-2.362,0.549,-75.196
-101.56,-804.69,16336,-2.373,0.549,-75.196
-15.625,-726.56,15391,-2.379,0.549,-75.196
-210.94,-671.88,15789,-2.368,0.555,-75.196
-179.69,-734.38,16492,-2.368,0.549,-75.196
39.063,-734.38,15813,-2.373,0.549,-75.196
-234.38,-695.31,15602,-2.379,0.555,-75.196
-265.63,-703.13,16047,-2.368,0.555,-75.196
46.875,-640.63,16211,-2.362,0.544,-75.19
-117.19,-671.88,16016,-2.373,0.555,-75.196
-367.19,-781.25,15953,-2.379,0.555,-75.196
-140.63,-687.5,15953,-2.368,0.549,-75.196
-93.75,-593.75,16164,-2.362,0.549,-75.196
-187.5,-734.38,16195,-2.373,0.549,-75.196
-117.19,-765.63,15648,-2.384,0.549,-75.196
-195.31,-648.44,15586,-2.373,0.555,-75.196
-203.13,-625,16289,-2.368,0.549,-75.196
-62.5,-726.56,16211,-2.379,0.549,-75.196
-85.938,-718.75,15500,-2.379,0.549,-75.196
-351.56,-679.69,15906,-2.373,0.555,-75.196
-101.56,-671.88,16391,-2.368,0.544,-75.19
-203.13,-714.84,16078,-2.3735,0.5495,-75.193
-304.69,-757.81,15766,-2.379,0.555,-75.196
-210.94,-750,15953,-2.373,0.549,-75.196
23.438,-632.81,15969,-2.368,0.549,-75.196
-195.31,-687.5,16234,-2.373,0.549,-75.196
-179.69,-773.44,15969,-2.384,0.549,-75.196
-70.313,-710.94,15633,-2.373,0.549,-75.196
-195.31,-632.81,16227,-2.368,0.549,-75.196
-148.44,-695.31,16492,-2.373,0.549,-75.196
-31.25,-718.75,15531,-2.379,0.549,-75.196
-242.19,-695.31,15680,-2.373,0.555,-75.196
-187.5,-664.06,16375,-2.368,0.549,-75.196
101.56,-648.44,16008,-2.368,0.544,-75.19
-125,-757.81,15813,-2.379,0.555,-75.196
-367.19,-742.19,15875,-2.379,0.555,-75.196
15.625,-695.31,16109,-2.368,0.549,-75.19
-31.25,-671.88,16125,-2.368,0.549,-75.196
-210.94,-773.44,16000,-2.379,0.555,-75.196
-101.56,-710.94,15594,-2.379,0.549,-75.196
-78.125,-609.38,15828,-2.368,0.555,-75.196
-203.13,-601.56,16422,-2.368,0.549,-75.196
-54.688,-726.56,15906,-2.379,0.549,-75.196
-179.69,-703.13,15578,-2.379,0.555,-75.196
-367.19,-632.81,16227,-2.373,0.555,-75.196
-109.38,-656.25,16391,-2.368,0.549,-75.19
-46.875,-695.31,15750,-2.379,0.549,-75.196
-359.38,-742.19,15820,-2.379,0.555,-75.196
-78.125,-664.06,16047,-2.368,0.549,-75.196
15.625,-648.44,16008,-2.362,0.549,-75.196
-156.25,-742.19,15938,-2.379,0.555,-75.196
-171.88,-789.06,15750,-2.379,0.555,-75.196
-7.8125,-664.06,15641,-2.368,0.549,-75.196
-179.69,-593.75,16289,-2.368,0.555,-75.196
-140.63,-757.81,16180,-2.379,0.549,-75.196
-39.063,-710.94,15398,-2.379,0.549,-75.196
-265.63,-625,15945,-2.373,0.555,-75.196
-148.44,-664.06,16422,-2.368,0.549,-75.196
46.875,-695.31,15859,-2.379,0.549,-75.196
-226.56,-695.31,15602,-2.384,0.555,-75.196
-281.25,-687.5,16141,-2.373,0.555,-75.196
109.38,-687.5,16219,-2.368,0.549,-75.19
-78.125,-695.31,15977,-2.379,0.555,-75.196
-304.69,-820.31,15984,-2.384,0.555,-75.196
-23.438,-703.13,15820,-2.373,0.549,-75.196
-23.438,-664.06,16133,-2.368,0.549,-75.196
-195.31,-750,16258,-2.379,0.555,-75.196
-203.13,-648.44,15633,-2.384,0.555,-75.196
-320.31,-570.31,16172,-2.373,0.555,-75.196
-164.06,-671.88,16391,-2.368,0.555,-75.196
-62.5,-726.56,15820,-2.379,0.549,-75.196
-281.25,-703.13,15609,-2.384,0.56,-75.196
-250,-664.06,16125,-2.379,0.56,-75.196
-183.59,-671.88,16031,-2.376,0.5545,-75.196
-117.19,-679.69,15938,-2.373,0.549,-75.196
-265.63,-703.13,15867,-2.384,0.56,-75.196
-62.5,-593.75,15953,-2.379,0.555,-75.196
-140.63,-601.56,16258,-2.368,0.549,-75.196
-250,-710.94,16367,-2.373,0.549,-75.196
-148.44,-710.94,15664,-2.384,0.555,-75.196
-148.44,-695.31,15805,-2.379,0.555,-75.196
-250,-617.19,16578,-2.368,0.555,-75.196
-23.438,-757.81,16000,-2.373,0.549,-75.196
-171.88,-664.06,15523,-2.379,0.549,-75.196
-343.75,-648.44,16195,-2.379,0.555,-75.196
-62.5,-671.88,16375,-2.368,0.549,-75.196
-78.125,-679.69,15898,-2.368,0.544,-75.196
-414.06,-726.56,15914,-2.379,0.555,-75.196
-187.5,-656.25,16055,-2.379,0.555,-75.196
-39.063,-562.5,16070,-2.368,0.549,-75.196
-242.19,-656.25,16336,-2.368,0.549,-75.196
-234.38,-734.38,15797,-2.384,0.555,-75.196
-210.94,-656.25,15773,-2.379,0.549,-75.196
-257.81,-578.13,16438,-2.368,0.555,-75.196
-85.938,-710.94,16344,-2.368,0.549,-75.196
-117.19,-679.69,15719,-2.379,0.549,-75.196
-367.19,-640.63,15742,-2.379,0.56,-75.196
-140.63,-640.63,16523,-2.368,0.555,-75.196
-15.625,-656.25,16008,-2.373,0.549,-75.196
-257.81,-710.94,15641,-2.379,0.56,-75.196
-335.94,-687.5,15969,-2.379,0.555,-75.196
-15.625,-609.38,16031,-2.368,0.549,-75.196
-187.5,-609.38,16172,-2.373,0.555,-75.196
-304.69,-695.31,15977,-2.384,0.56,-75.196
-140.63,-718.75,15711,-2.379,0.555,-75.196
-164.06,-593.75,15953,-2.368,0.555,-75.196
-164.06,-687.5,16523,-2.373,0.549,-75.196
-93.75,-734.38,15703,-2.379,0.549,-75.196
-226.56,-671.88,15633,-2.373,0.555,-75.196
-265.63,-656.25,16406,-2.368,0.555,-75.196
-7.8125,-656.25,16359,-2.373,0.549,-75.196
-62.5,-703.13,15734,-2.379,0.555,-75.196
-367.19,-695.31,16008,-2.373,0.56,-75.196
-85.938,-648.44,16281,-2.362,0.549,-75.196
0,-632.81,16109,-2.368,0.549,-75.196
-296.88,-726.56,16148,-2.379,0.555,-75.196
-257.81,-734.38,15781,-2.373,0.555,-75.196
-101.56,-593.75,16016,-2.362,0.549,-75.196
-242.19,-687.5,16414,-2.368,0.555,-75.196
-109.38,-750,16086,-2.379,0.555,-75.196
-132.81,-765.63,15539,-2.379,0.555,-75.196
-289.06,-609.38,16125,-2.368,0.555,-75.196
-62.5,-703.13,16469,-2.368,0.549,-75.196
7.8125,-726.56,15766,-2.379,0.549,-75.196
-320.31,-687.5,15602,-2.379,0.56,-75.196
-242.19,-679.69,16227,-2.368,0.549,-75.196
62.5,-640.63,16211,-2.368,0.544,-75.19
-203.13,-648.44,15930,-2.379,0.555,-75.196
-335.94,-726.56,16000,-2.379,0.555,-75.196
-93.75,-632.81,15961,-2.368,0.549,-75.196
-140.63,-562.5,16203,-2.368,0.549,-75.196
-273.44,-695.31,16352,-2.379,0.549,-75.196
-140.63,-726.56,15586,-2.379,0.549,-75.196
-242.19,-625,15797,-2.368,0.555,-75.196
-195.31,-671.88,16453,-2.368,0.549,-75.196
-7.8125,-687.5,15938,-2.373,0.549,-75.196
-195.31,-656.25,15539,-2.379,0.555,-75.196
-359.38,-703.13,16133,-2.368,0.555,-75.196
-54.688,-640.63,16273,-2.368,0.549,-75.196
-125,-687.5,15984,-2.373,0.555,-75.196
-312.5,-773.44,15906,-2.379,0.56,-75.196
-148.44,-679.69,16023,-2.373,0.555,-75.196
-39.063,-593.75,16023,-2.368,0.555,-75.196
-257.81,-703.13,16281,-2.379,0.555,-75.196
-164.06,-734.38,15773,-2.384,0.555,-75.196
-85.938,-695.31,15734,-2.379,0.555,-75.196
-289.06,-648.44,16383,-2.368,0.555,-75.196
-93.75,-695.31,16344,-2.379,0.549,-75.196
-70.313,-742.19,15695,-2.384,0.555,-75.196
-375,-648.44,15984,-2.379,0.56,-75.196
-101.56,-664.06,16414,-2.373,0.549,-75.196
