x,y,z,roll,pitch,yaw
-117.19,-703.13,16016,-2.384,0.511,-76.657
-125,-585.94,16141,-2.373,0.511,-76.657
-203.13,-734.38,16320,-2.373,0.511,-76.657
-140.63,-781.25,15805,-2.384,0.511,-76.657
-140.63,-742.19,15703,-2.384,0.511,-76.657
-210.94,-664.06,16336,-2.373,0.511,-76.657
-101.56,-695.31,16156,-2.373,0.511,-76.657
-148.44,-742.19,15789,-2.379,0.511,-76.657
-304.69,-679.69,15813,-2.379,0.516,-76.657
-109.38,-648.44,16367,-2.373,0.511,-76.657
-70.313,-679.69,16133,-2.379,0.511,-76.657
-203.13,-742.19,15922,-2.384,0.511,-76.657
-257.81,-710.94,15953,-2.379,0.511,-76.657
-117.19,-617.19,16102,-2.373,0.511,-76.657
-140.63,-679.69,16258,-2.379,0.511,-76.657
-226.56,-750,15945,-2.39,0.511,-76.657
-171.88,-656.25,15711,-2.384,0.511,-76.657
-195.31,-617.19,16234,-2.373,0.511,-76.657
-109.38,-679.69,16438,-2.379,0.505,-76.657
-171.88,-726.56,15750,-2.39,0.505,-76.657
-187.5,-726.56,15820,-2.384,0.511,-76.657
-203.13,-640.63,16195,-2.379,0.505,-76.657
-23.438,-664.06,16180,-2.379,0.505,-76.657
-210.94,-687.5,15789,-2.39,0.511,-76.657
-304.69,-656.25,15906,-2.384,0.511,-76.657
-117.19,-625,16070,-2.379,0.505,-76.657
-125,-625,16211,-2.379,0.505,-76.657
-296.88,-671.88,16094,-2.384,0.511,-76.657
-140.63,-718.75,15828,-2.384,0.505,-76.657
-117.19,-585.94,15883,-2.379,0.505,-76.657
-164.06,-632.81,16438,-2.379,0.511,-76.657
-109.38,-757.81,15844,-2.384,0.505,-76.657
-117.19,-726.56,15688,-2.384,0.511,-76.657
-242.19,-625,16008,-2.379,0.505,-76.657
-85.938,-695.31,16289,-2.379,0.5,-76.657
-85.938,-710.94,15844,-2.384,0.505,-76.657
-250,-750,15797,-2.39,0.511,-76.657
-140.63,-664.06,15984,-2.379,0.505,-76.657
-140.63,-601.56,16133,-2.379,0.505,-76.657
-156.25,-695.31,16016,-2.39,0.505,-76.657
-164.06,-726.56,15773,-2.39,0.505,-76.657
-140.63,-617.19,15836,-2.379,0.505,-76.657
-132.81,-585.94,16313,-2.379,0.505,-76.657
-179.69,-703.13,16164,-2.39,0.505,-76.657
-164.06,-734.38,15656,-2.39,0.505,-76.657
-226.56,-632.81,15945,-2.379,0.505,-76.657
-125,-625,16508,-2.379,0.5,-76.657
-144.53,-636.72,16340,-2.3815,0.5025,-76.657
-164.06,-648.44,16172,-2.384,0.505,-76.657
-46.875,-609.38,16180,-2.379,0.5,-76.657
-234.38,-718.75,15961,-2.384,0.505,-76.657
-257.81,-703.13,15773,-2.39,0.505,-76.657
-109.38,-625,15984,-2.384,0.5,-76.657
-195.31,-679.69,16328,-2.379,0.5,-76.657
-164.06,-734.38,16008,-2.384,0.505,-76.657
-101.56,-726.56,15633,-2.39,0.5,-76.657
-226.56,-625,16055,-2.384,0.505,-76.657
-140.63,-640.63,16352,-2.379,0.505,-76.657
0,-734.38,15820,-2.384,0.5,-76.657
-257.81,-695.31,15680,-2.39,0.505,-76.657
-125,-625,16016,-2.384,0.505,-76.657
0,-664.06,16180,-2.379,0.5,-76.657
-156.25,-703.13,15836,-2.384,0.505,-76.657
-234.38,-742.19,15789,-2.395,0.505,-76.657
-140.63,-656.25,15820,-2.39,0.505,-76.657
-156.25,-578.13,16211,-2.379,0.505,-76.657
-140.63,-726.56,16148,-2.384,0.505,-76.657
-117.19,-742.19,15672,-2.395,0.505,-76.657
-195.31,-640.63,15820,-2.39,0.505,-76.657
-85.938,-625,16438,-2.379,0.505,-76.657
-85.938,-703.13,15883,-2.384,0.505,-76.657
-109.38,-718.75,15633,-2.395,0.5,-76.657
-281.25,-656.25,15977,-2.39,0.505,-76.657
-109.38,-632.81,16258,-2.379,0.5,-76.657
-23.438,-687.5,15992,-2.379,0.5,-76.657
-296.88,-765.63,15828,-2.39,0.505,-76.657
-148.44,-703.13,15906,-2.39,0.505,-76.657
-62.5,-625,16156,-2.379,0.5,-76.657
-164.06,-671.88,16203,-2.379,0.5,-76.657
-156.25,-703.13,15766,-2.39,0.505,-76.657
-171.88,-703.13,15711,-2.39,0.5,-76.657
-187.5,-617.19,16273,-2.379,0.505,-76.657
-109.38,-726.56,16227,-2.379,0.5,-76.657
-117.19,-734.38,15773,-2.384,0.505,-76.657
-273.44,-656.25,15938,-2.39,0.505,-76.657
-70.313,-640.63,16305,-2.379,0.505,-76.657
-15.625,-656.25,16078,-2.379,0.5,-76.657
-187.5,-734.38,15813,-2.384,0.505,-76.657
-179.69,-757.81,15789,-2.39,0.511,-76.657
-54.688,-695.31,16039,-2.379,0.505,-76.657
-93.75,-664.06,16094,-2.373,0.505,-76.657
-156.25,-757.81,15914,-2.384,0.505,-76.657
-109.38,-726.56,15750,-2.384,0.511,-76.657
-210.94,-632.81,16008,-2.379,0.505,-76.657
-140.63,-656.25,16367,-2.379,0.505,-76.657
-140.63,-664.06,15734,-2.384,0.505,-76.657
-179.69,-695.31,15742,-2.384,0.511,-76.657
-250,-640.63,16203,-2.379,0.505,-76.657
-125,-632.81,16195,-2.384,0.505,-76.657
-78.125,-679.69,15766,-2.39,0.511,-76.657
-234.38,-687.5,15953,-2.384,0.511,-76.657
-109.38,-640.63,16109,-2.379,0.505,-76.657
-54.688,-656.25,16148,-2.379,0.505,-76.657
-218.75,-718.75,16031,-2.39,0.511,-76.657
-187.5,-703.13,15844,-2.39,0.511,-76.657
-109.38,-664.06,16016,-2.379,0.511,-76.657
-171.88,-648.44,16297,-2.379,0.511,-76.657
-101.56,-710.94,16008,-2.384,0.511,-76.657
-179.69,-718.75,15703,-2.384,0.511,-76.657
-250,-625,16031,-2.379,0.511,-76.657
-117.19,-625,16398,-2.379,0.505,-76.657
-62.5,-687.5,15867,-2.384,0.505,-76.657
-289.06,-703.13,15766,-2.384,0.511,-76.657
-234.38,-609.38,16133,-2.379,0.511,-76.657
-39.063,-640.63,16156,-2.373,0.505,-76.657
-171.88,-679.69,15938,-2.384,0.511,-76.657
-218.75,-750,15852,-2.39,0.511,-76.657
-132.81,-664.06,15836,-2.379,0.511,-76.657
-85.938,-640.63,16172,-2.373,0.505,-76.657
-164.06,-679.69,16031,-2.384,0.511,-76.657
-101.56,-710.94,15727,-2.384,0.511,-76.657
-257.81,-648.44,15758,-2.379,0.511,-76.657
-101.56,-687.5,16328,-2.373,0.505,-76.657
-70.313,-679.69,15883,-2.384,0.511,-76.657
-148.44,-734.38,15719,-2.384,0.511,-76.657
-250,-632.81,15906,-2.379,0.511,-76.657
-62.5,-609.38,16203,-2.379,0.505,-76.657
-54.688,-625,15844,-2.384,0.505,-76.657
-296.88,-734.38,15938,-2.39,0.511,-76.657
-179.69,-664.06,15898,-2.379,0.511,-76.657
-62.5,-585.94,16109,-2.373,0.505,-76.657
-242.19,-687.5,16156,-2.379,0.511,-76.657
-148.44,-765.63,15797,-2.384,0.511,-76.657
-70.313,-710.94,15727,-2.379,0.511,-76.657
-156.25,-640.63,16305,-2.373,0.511,-76.657
-109.38,-695.31,16047,-2.379,0.505,-76.657
-39.063,-710.94,15695,-2.384,0.511,-76.657
-242.19,-710.94,15906,-2.379,0.511,-76.657
-62.5,-656.25,16195,-2.373,0.505,-76.657
-46.875,-710.94,16016,-2.379,0.505,-76.657
-195.31,-718.75,15883,-2.384,0.511,-76.657
-210.94,-671.88,15883,-2.379,0.505,-76.657
-132.81,-609.38,16180,-2.373,0.505,-76.657
-179.69,-695.31,16055,-2.379,0.505,-76.657
-132.81,-765.63,15930,-2.384,0.511,-76.657
-187.5,-601.56,15766,-2.379,0.511,-76.657
-179.69,-664.06,16398,-2.368,0.505,-76.657
-179.69,-632.81,15922,-2.379,0.511,-76.657
-203.13,-695.31,15695,-2.384,0.511,-76.657
-273.44,-648.44,15992,-2.379,0.511,-76.657
-132.81,-617.19,16406,-2.373,0.511,-76.657
-78.125,-648.44,15844,-2.373,0.511,-76.657
-218.75,-726.56,15867,-2.384,0.511,-76.657
-281.25,-671.88,15969,-2.379,0.516,-76.657
-39.063,-601.56,16125,-2.368,0.511,-76.657
-164.06,-695.31,16078,-2.373,0.511,-76.657
-265.63,-734.38,15789,-2.384,0.516,-76.657
-54.688,-664.06,15828,-2.379,0.511,-76.657
-164.06,-609.38,16258,-2.373,0.511,-76.657
-164.06,-710.94,16219,-2.373,0.511,-76.657
