x,y,z,roll,pitch,yaw
-679,-112,16750,-0.55462,2.2932,132.11
-681,-120,16726,-0.5604,2.3093,132.04
-674,-118,16740,-0.55922,2.321,131.98
-651,-108,16765,-0.54734,2.315,131.93
-632,-97,16775,-0.48366,2.3471,131.99
-623,-60,16790,-0.41308,2.3579,132.04
-618,-57,16837,-0.36057,2.3558,132.08
-600,-60,16844,-0.32509,2.3369,132.11
-599,-57,16858,-0.29855,2.3188,132.13
-601,-51,16853,-0.27487,2.3045,132.15
-606,-57,16840,-0.26205,2.2958,132.17
-625,-81,16810,-0.27069,2.3027,132.18
-646,-97,16817,-0.28835,2.3239,132.19
-662,-132,16815,-0.32892,2.3513,132.2
-674,-134,16768,-0.36291,2.3824,132.21
-684,-137,16747,-0.39099,2.4155,132.22
-685,-145,16755,-0.41981,2.4408,132.23
-683,-148,16784,-0.44658,2.4563,132.23
-677,-146,16787,-0.42532,2.5065,132.34
-673,-125,16816,-0.4015,2.5329,132.42
-660,-113,16821,-0.38051,2.5368,132.49
-652,-104,16817,-0.36226,2.5288,132.54
-638,-98,16824,-0.34861,2.5081,132.59
-644,-94,16834,-0.3829,2.4439,132.51
-650,-88,16829,-0.43414,2.3669,132.35
-655,-92,16806,-0.426,2.3682,132.33
-668,-87,16796,-0.37173,2.4255,132.43
-677,-106,16758,-0.35212,2.4686,132.5
-686,-112,16751,-0.3473,2.5027,132.55
-695,-118,16766,-0.35235,2.5321,132.6
-700,-131,16775,-0.36935,2.5534,132.63
-688,-131,16787,-0.38466,2.5586,132.65
-681,-137,16789,-0.40238,2.5561,132.67
-660,-130,16807,-0.41183,2.5373,132.69
-653,-123,16816,-0.41448,2.5151,132.71
-649,-111,16846,-0.40805,2.495,132.72
-651,-108,16849,-0.40147,2.4798,132.74
-649,-110,16833,-0.39856,2.4661,132.75
-649,-96,16811,-0.38506,2.4569,132.77
-663,-102,16797,-0.38007,2.4591,132.78
-674,-97,16786,-0.41907,2.4187,132.68
-697,-108,16754,-0.44923,2.4144,132.6
-703,-119,16744,-0.51386,2.3788,132.43
-706,-127,16737,-0.55748,2.3678,132.3
-697,-128,16740,-0.5827,2.3632,132.19
-686,-126,16761,-0.59337,2.3593,132.1
-684,-124,16792,-0.59416,2.359,132.03
-673,-113,16814,-0.58195,2.3552,131.97
-653,-119,16837,-0.53357,2.3849,132.02
