x,y,z,roll,pitch,yaw
1269,12,17086,-0.091716,-4.0315,179.1
1268,8,17078,-0.093311,-4.0346,179.06
1284,5,17084,-0.091919,-4.0481,179.02
1292,-5,17077,-0.094045,-4.0648,178.99
1287,-14,17065,-0.098301,-4.0749,178.96
1282,-48,17042,-0.12258,-4.0789,178.93
1283,-52,17076,-0.13878,-4.0808,178.91
1286,-53,17079,-0.14794,-4.0842,178.89
1290,-53,17086,-0.15203,-4.0893,178.88
1279,-49,17091,-0.15024,-4.0865,178.87
1263,-45,17102,-0.14424,-4.0722,178.85
1256,-35,17112,-0.1319,-4.0555,178.84
1231,-33,17120,-0.12105,-4.024,178.83
1240,-38,17141,-0.11618,-4.0046,178.82
1237,-36,17107,-0.11029,-3.9891,178.81
1231,-36,17113,-0.10516,-3.9723,178.79
1227,-37,17121,0.040546,-3.9548,178.9
1233,-43,17116,-0.021867,-3.9473,178.87
1245,-40,17090,-0.057247,-3.9512,178.84
1245,-42,17078,-0.079284,-3.9547,178.82
1267,-42,17075,-0.091663,-3.9734,178.81
1256,-28,17082,-0.087908,-3.9796,178.79
1260,-19,17142,-0.07733,-3.9842,178.78
1253,-13,17135,-0.064549,-3.9831,178.77
1253,-14,17121,-0.05538,-3.983,178.75
1259,-5,17128,-0.041029,-3.9854,178.74
1254,-4,17146,-0.029438,-3.9827,178.73
1256,0,17135,0.12447,-3.9814,178.83
1231,11,17129,0.22237,-3.9628,178.92
1243,17,17117,0.14,-3.9599,178.86
1241,17,17089,0.23387,-3.9553,178.94
1252,12,17094,0.28367,-3.9594,179
1254,9,17092,0.30754,-3.9643,179.06
1253,3,17097,0.17096,-3.97,178.98
1250,-6,17091,0.22467,-3.9697,179.05
1251,-9,17108,0.25081,-3.9695,179.1
1283,-11,17113,0.26065,-3.9921,179.15
1280,-19,17106,0.25622,-4.0081,179.2
1286,-19,17094,0.24951,-4.0242,179.24
1286,-16,17101,0.099792,-4.0391,179.15
1284,-4,17112,0.16144,-4.0475,179.21
1279,-3,17109,0.19598,-4.0507,179.26
1287,2,17101,0.21743,-4.058,179.3
1285,2,17084,0.22734,-4.0633,179.33
1276,2,17081,0.08811,-4.0637,179.24
1269,7,17077,0.009619,-4.0599,179.17
