x,y,z
-23.773,-2.1533,16.22
-25.773,2.8467,18.22
-31.773,5.8467,18.22
-35.773,1.8467,28.22
-36.773,3.8467,12.22
-34.773,7.8467,3.22
-13.773,-1.1533,15.22
-21.773,-3.1533,29.22
-13.773,-8.1533,40.22
-3.7733,-6.1533,14.22
-1.7733,-12.153,19.22
-6.7733,-15.153,10.22
-11.773,-25.153,19.22
-14.773,-22.153,12.22
-10.773,-12.153,16.22
-10.773,-13.153,-3.78
-17.773,-2.1533,-15.78
-15.773,-15.153,1.22
-22.773,-2.1533,-18.78
-14.773,8.8467,-17.78
-1.7733,9.8467,2.22
-1.7733,1.8467,13.22
1.2267,5.8467,1.22
-1.7733,-20.153,12.22
2.2267,-29.153,20.22
1.2267,-16.153,17.22
1.2267,-20.153,22.22
3.2267,-27.153,37.22
3.2267,-34.153,27.22
3.2267,-27.153,34.22
-6.7733,-27.153,48.22
3.2267,-5.1533,38.22
7.2267,-0.15333,31.22
12.227,-2.1533,25.22
17.227,-1.1533,14.22
8.2267,-9.1533,2.22
12.227,1.8467,0.22
13.227,-4.1533,-9.78
20.227,-4.1533,-4.78
16.227,2.8467,10.22
8.2267,1.8467,12.22
8.2267,1.8467,4.22
9.2267,1.8467,6.22
23.227,6.8467,9.22
13.227,1.8467,6.22
14.227,2.8467,12.22
12.227,-0.15333,3.22
15.227,-0.15333,3.22
17.227,-1.1533,11.22
10.227,-7.1533,27.22
6.2267,-1.1533,46.22
2.2267,-5.1533,38.22
11.227,-7.1533,34.22
6.2267,-2.1533,32.22
4.2267,1.8467,28.22
9.2267,-11.153,21.22
19.227,-11.153,0.22
20.227,-4.1533,-7.78
30.227,-13.153,-10.78
26.227,-17.153,-5.78
21.227,-12.153,3.22
31.227,-14.153,-9.78
35.227,-13.153,4.22
27.227,-5.1533,-0.78
27.227,-4.1533,6.22
31.227,-1.1533,5.22
21.227,4.8467,-6.78
16.227,8.8467,-10.78
16.227,4.8467,-16.78
15.227,5.8467,-0.78
10.227,-0.15333,-11.78
18.227,-0.15333,-6.78
15.227,7.8467,-18.78
5.2267,2.8467,-21.78
15.227,-0.15333,-16.78
20.227,11.847,-24.78
22.227,15.847,-25.78
19.227,0.84667,-29.78
34.227,1.8467,-16.78
33.227,-1.1533,-21.78
28.227,-8.1533,-7.78
26.227,-6.1533,0.22
19.227,-8.1533,-6.78
19.227,-19.153,3.22
17.227,-16.153,0.22
15.227,-2.1533,2.22
-0.77333,-2.1533,2.22
-2.7733,-7.1533,13.22
-4.7733,-5.1533,3.22
3.2267,-0.15333,1.22
-0.77333,-4.1533,10.22
-4.7733,-5.1533,15.22
-3.7733,-1.1533,35.22
-6.7733,-4.1533,19.22
-7.7733,-11.153,11.22
-14.773,-5.1533,4.22
-9.7733,-7.1533,24.22
-10.773,-7.1533,21.22
-8.7733,4.8467,14.22
-4.7733,2.8467,-4.78
-3.7733,-4.1533,-16.78
2.2267,-1.1533,-17.78
9.2267,7.8467,-22.78
14.227,13.847,-14.78
3.2267,12.847,-30.78
3.2267,5.8467,-34.78
-4.7733,4.8467,-50.78
-10.773,6.8467,-31.78
-17.773,-2.1533,-34.78
-23.773,-1.1533,-15.78
-21.773,0.84667,-14.78
-28.773,-3.1533,-17.78
-25.773,2.8467,-16.78
-28.773,0.84667,-20.78
-21.773,-4.1533,4.22
-15.773,3.8467,-1.78
-14.773,18.847,-26.78
-14.773,18.847,-41.78
-25.773,19.847,-34.78
-28.773,15.847,-31.78
-26.773,11.847,-19.78
-29.773,12.847,-18.78
-25.773,7.8467,-10.78
-22.773,-4.1533,-9.78
-17.773,-11.153,-10.78
-7.7733,-10.153,-24.78
-0.77333,-10.153,-39.78
3.2267,-10.153,-46.78
6.2267,-7.1533,-46.78
17.227,-7.1533,-32.78
15.227,2.8467,-39.78
13.227,17.847,-42.78
6.2267,13.847,-19.78
-4.7733,17.847,7.22
-2.7733,8.8467,23.22
-1.7733,11.847,47.22
-0.77333,8.8467,33.22
-11.773,5.8467,16.22
-7.7733,9.8467,-2.78
-25.773,3.8467,-13.78
-21.773,38.847,-10.78
-12.773,28.847,-13.78
-14.773,34.847,-8.78
-15.773,36.847,-28.78
-22.773,37.847,-20.78
-9.7733,40.847,-11.78
-10.773,32.847,1.22
1.2267,27.847,20.22
2.2267,-2.1533,13.22
-7.7733,5.8467,15.22
-10.773,1.8467,-3.78
-11.773,-4.1533,5.22
-4.7733,-9.1533,11.22
-17.773,-7.1533,23.22
-21.773,-2.1533,22.22
-14.773,-6.1533,19.22
-7.7733,-18.153,29.22
-1.7733,-27.153,24.22
2.2267,-22.153,24.22
-5.7733,-21.153,15.22
-10.773,-14.153,6.22
-7.7733,-20.153,2.22
0.22667,-29.153,-14.78
-1.7733,-16.153,-23.78
-8.7733,-6.1533,-28.78
-13.773,-5.1533,-27.78
-15.773,-9.1533,-17.78
-3.7733,-8.1533,-31.78
6.2267,-8.1533,-26.78
3.2267,-3.1533,-20.78
-7.7733,-4.1533,-2.78
-10.773,-2.1533,-1.78
22.227,-9.1533,7.22
22.227,-5.1533,23.22
18.227,-8.1533,20.22
13.227,-10.153,40.22
14.227,-15.153,36.22
18.227,-16.153,11.22
15.227,-18.153,8.22
18.227,-26.153,21.22
-18.773,-11.153,21.22
51.227,-7.1533,2.22
68.227,-4.1533,-0.78
73.227,1.8467,-14.78
64.227,0.84667,-23.78
71.227,3.8467,-6.78
84.227,12.847,-14.78
86.227,23.847,-7.78
92.227,9.8467,-9.78
18.227,1.8467,-22.78
7.2267,1.8467,-27.78
7.2267,-7.1533,-23.78
-1.7733,-12.153,-14.78
-56.773,-51.153,-26.78
-63.773,-48.153,3.22
-98.773,-50.153,-20.78
-121.77,-61.153,-19.78
-9.7733,317.85,19.22
188.23,1758.8,129.22
16.227,2946.8,177.22
-266.77,3851.8,189.22
-158.77,4627.8,183.22
-195.77,4675.8,180.22
-232.77,4946.8,161.22
-299.77,4890.8,136.22
-312.77,4079.8,101.22
-666.77,2171.8,-50.78
-697.77,762.85,-167.78
-417.77,-537.15,-150.78
-651.77,-1963.2,-138.78
-549.77,-2635.2,-141.78
-628.77,-3629.2,-114.78
-385.77,-3886.2,-36.78
-633.77,-3646.2,-59.78
-433.77,-3185.2,-23.78
-146.77,-2945.2,40.22
93.227,-2692.2,-4.78
424.23,-2012.2,-1.78
441.23,-1396.2,-6.78
667.23,-678.15,9.22
593.23,-355.15,-54.78
835.23,-156.15,-25.78
883.23,-147.15,-24.78
893.23,-151.15,-21.78
743.23,0.84667,-14.78
679.23,9.8467,-13.78
685.23,8.8467,-17.78
695.23,13.847,-34.78
700.23,22.847,-34.78
698.23,5.8467,-36.78
681.23,-6.1533,-34.78
669.23,-11.153,-41.78
676.23,-10.153,-28.78
676.23,-14.153,-59.78
671.23,-13.153,-54.78
667.23,-16.153,-50.78
664.23,-24.153,-53.78
663.23,-4.1533,-59.78
667.23,1.8467,-55.78
663.23,-5.1533,-41.78
660.23,-7.1533,-42.78
663.23,-2.1533,-23.78
664.23,-0.15333,-37.78
660.23,-1.1533,-40.78
662.23,6.8467,-19.78
664.23,0.84667,-4.78
669.23,3.8467,-8.78
671.23,4.8467,-26.78
673.23,1.8467,-37.78
663.23,0.84667,-29.78
669.23,-3.1533,-34.78
671.23,-8.1533,-38.78
662.23,-4.1533,-76.78
664.23,-7.1533,-81.78
659.23,-7.1533,-71.78
665.23,-2.1533,-76.78
657.23,0.84667,-68.78
651.23,-1.1533,-67.78
650.23,0.84667,-52.78
644.23,8.8467,-52.78
654.23,0.84667,-36.78
653.23,-4.1533,-68.78
643.23,-0.15333,-68.78
643.23,-1.1533,-34.78
646.23,-5.1533,-41.78
653.23,2.8467,-39.78
653.23,3.8467,-46.78
654.23,-4.1533,-40.78
663.23,-6.1533,-45.78
660.23,1.8467,-13.78
668.23,-2.1533,-29.78
670.23,-4.1533,-52.78
675.23,-3.1533,-38.78
679.23,-7.1533,-32.78
673.23,1.8467,-47.78
679.23,10.847,-49.78
670.23,10.847,-37.78
671.23,5.8467,-48.78
682.23,12.847,-38.78
681.23,11.847,-22.78
681.23,8.8467,-29.78
676.23,4.8467,-24.78
679.23,-0.15333,-15.78
679.23,8.8467,-27.78
