x,y,z
10.087,-16.247,-80.827
22.087,-10.247,-39.827
40.087,-19.247,-22.827
31.087,-22.247,-22.827
34.087,-13.247,-16.827
33.087,-12.247,-24.827
21.087,-11.247,-9.8267
15.087,-11.247,-5.8267
10.087,-14.247,-2.8267
3.0867,-16.247,-6.8267
-3.9133,-12.247,-13.827
2.0867,16.753,2.1733
-2.9133,10.753,-14.827
4.0867,9.7533,-14.827
12.087,8.7533,-32.827
17.087,21.753,-30.827
16.087,24.753,-31.827
15.087,23.753,-25.827
10.087,19.753,-18.827
-1.9133,26.753,-19.827
-4.9133,28.753,11.173
-11.913,39.753,21.173
-11.913,47.753,25.173
-14.913,48.753,27.173
-15.913,55.753,32.173
-16.913,56.753,23.173
-10.913,58.753,26.173
-14.913,21.753,23.173
-5.9133,24.753,19.173
5.0867,19.753,16.173
2.0867,24.753,24.173
9.0867,11.753,8.1733
11.087,6.7533,-8.8267
15.087,11.753,-1.8267
8.0867,12.753,-7.8267
15.087,17.753,-5.8267
11.087,13.753,-6.8267
-0.91333,9.7533,-13.827
-3.9133,-5.2467,-11.827
-5.9133,6.7533,-5.8267
-12.913,10.753,12.173
-17.913,6.7533,21.173
-9.9133,6.7533,25.173
-9.9133,10.753,15.173
-3.9133,8.7533,-4.8267
-10.913,11.753,1.1733
-5.9133,11.753,-1.8267
-3.9133,2.7533,9.1733
-0.91333,-7.2467,1.1733
4.0867,-2.2467,-9.8267
-6.9133,1.7533,-14.827
-1.9133,-2.2467,-14.827
-3.9133,-1.2467,1.1733
1.0867,0.75333,3.1733
0.086667,-0.24667,-4.8267
-1.9133,6.7533,-0.82667
2.0867,12.753,19.173
-3.9133,9.7533,15.173
1.0867,-21.247,12.173
-14.913,-20.247,1.1733
-18.913,-25.247,2.1733
-17.913,-25.247,0.17333
-17.913,-26.247,12.173
-15.913,-32.247,0.17333
-18.913,-38.247,-11.827
-13.913,-40.247,-12.827
-13.913,-16.247,1.1733
-2.9133,-15.247,26.173
-3.9133,-17.247,19.173
-4.9133,-18.247,9.1733
-10.913,-15.247,-12.827
-10.913,-12.247,-11.827
-12.913,-18.247,-15.827
-8.9133,-18.247,-2.8267
-7.9133,-20.247,-29.827
-1.9133,-23.247,-35.827
9.0867,-14.247,-22.827
13.087,-13.247,-12.827
17.087,-11.247,-10.827
12.087,-13.247,-4.8267
14.087,1.7533,-5.8267
5.0867,-2.2467,-13.827
8.0867,4.7533,9.1733
8.0867,5.7533,16.173
-5.9133,2.7533,1.1733
-11.913,2.7533,0.17333
-7.9133,-0.24667,18.173
-11.913,-2.2467,13.173
-7.9133,-0.24667,24.173
-1.9133,-3.2467,22.173
-3.9133,-4.2467,29.173
-5.9133,-1.2467,11.173
-5.9133,8.7533,11.173
-4.9133,6.7533,10.173
-12.913,2.7533,2.1733
0.086667,6.7533,5.1733
-3.9133,0.75333,-11.827
-4.9133,9.7533,-21.827
-6.9133,10.753,-22.827
-3.9133,5.7533,-12.827
0.086667,-8.2467,-10.827
-0.91333,-4.2467,-9.8267
2.0867,7.7533,-10.827
-3.9133,4.7533,-22.827
-3.9133,8.7533,-5.8267
-0.91333,3.7533,1.1733
1.0867,-6.2467,-1.8267
-3.9133,1.7533,9.1733
-6.9133,2.7533,15.173
3.0867,-3.2467,18.173
7.0867,-10.247,25.173
12.087,-15.247,36.173
12.087,-22.247,29.173
9.0867,-18.247,37.173
18.087,-9.2467,45.173
23.087,-14.247,30.173
25.087,-8.2467,40.173
19.087,-6.2467,27.173
19.087,-1.2467,22.173
12.087,10.753,15.173
11.087,14.753,14.173
8.0867,12.753,14.173
5.0867,10.753,-5.8267
-5.9133,5.7533,-1.8267
-4.9133,5.7533,-9.8267
-1.9133,4.7533,-1.8267
-5.9133,-3.2467,-15.827
-6.9133,-5.2467,-21.827
-7.9133,-12.247,-27.827
-8.9133,-14.247,-28.827
-10.913,-8.2467,-27.827
1.0867,-7.2467,-29.827
7.0867,-12.247,-34.827
10.087,-9.2467,-28.827
11.087,6.7533,-25.827
11.087,-6.2467,5.1733
13.087,-6.2467,24.173
17.087,2.7533,14.173
12.087,-3.2467,2.1733
0.086667,-4.2467,3.1733
-10.913,2.7533,8.1733
-16.913,-2.2467,8.1733
-9.9133,-17.247,18.173
-11.913,-4.2467,0.17333
-14.913,-1.2467,-10.827
-23.913,-10.247,-0.82667
-23.913,-13.247,15.173
-22.913,-8.2467,22.173
-6.9133,-19.247,15.173
-1.9133,-18.247,3.1733
-11.913,-17.247,-2.8267
-12.913,-15.247,-0.82667
-5.9133,-8.2467,29.173
-2.9133,-2.2467,24.173
6.0867,-1.2467,34.173
10.087,2.7533,35.173
-3.9133,11.753,35.173
-10.913,18.753,55.173
-0.91333,26.753,43.173
-0.91333,13.753,62.173
0.086667,11.753,8.1733
8.0867,4.7533,12.173
-2.9133,6.7533,1.1733
-3.9133,0.75333,-4.8267
7.0867,-3.2467,4.1733
10.087,-6.2467,3.1733
3.0867,-8.2467,19.173
6.0867,-29.247,-8.8267
5.0867,-31.247,47.173
8.0867,-31.247,42.173
12.087,-32.247,49.173
15.087,-31.247,54.173
8.0867,-32.247,37.173
9.0867,-27.247,21.173
16.087,-26.247,12.173
19.087,9.7533,16.173
14.087,12.753,-34.827
8.0867,13.753,-45.827
