x,y,z,roll,pitch,yaw
781,203,17113,0.64317,-2.3754,-141.48
782,214,17124,0.65444,-2.373,-141.48
787,202,17121,0.65386,-2.3742,-141.48
778,233,17101,0.67589,-2.3692,-141.48
776,235,17095,0.69339,-2.363,-141.48
778,242,17100,0.71133,-2.3588,-141.49
775,238,17100,0.72348,-2.3542,-141.49
780,233,17090,0.72899,-2.3541,-141.49
774,230,17076,0.73102,-2.35,-141.49
779,236,17069,0.77707,-2.3827,-141.44
773,237,17077,0.76498,-2.3646,-141.46
778,205,17074,0.73378,-2.355,-141.46
776,205,17064,0.71281,-2.349,-141.47
777,200,17059,0.69494,-2.3469,-141.47
769,211,17056,0.69043,-2.3408,-141.47
766,209,17088,0.68582,-2.3333,-141.47
779,207,17112,0.68123,-2.3366,-141.47
770,202,17116,0.67401,-2.3325,-141.47
771,202,17128,0.6703,-2.3301,-141.46
765,204,17135,0.66897,-2.3239,-141.46
774,203,17138,0.69951,-2.3513,-141.42
772,205,17143,0.68567,-2.3397,-141.43
768,203,17141,0.63494,-2.2977,-141.48
775,204,17120,0.64696,-2.3105,-141.47
767,207,17109,0.65649,-2.3134,-141.47
775,211,17108,0.66562,-2.3206,-141.46
778,210,17105,0.67079,-2.3274,-141.46
810,204,17127,0.66768,-2.3529,-141.46
796,202,17116,0.70258,-2.3943,-141.42
788,208,17124,0.72561,-2.4152,-141.38
793,203,17133,0.73411,-2.4302,-141.35
788,197,17129,0.69264,-2.4035,-141.37
780,196,17106,0.66591,-2.3826,-141.39
780,200,17111,0.65214,-2.3695,-141.4
764,212,17108,0.6526,-2.3498,-141.41
769,212,17103,0.61592,-2.309,-141.46
784,216,17121,0.59917,-2.2945,-141.5
788,209,17113,0.58657,-2.2907,-141.54
797,194,17105,0.53644,-2.2716,-141.61
786,200,17110,0.51202,-2.2569,-141.66
784,196,17128,0.49732,-2.2492,-141.71
795,188,17138,0.48559,-2.2552,-141.76
809,183,17130,0.50881,-2.2984,-141.75
778,190,17118,0.56835,-2.3391,-141.71
770,193,17103,0.60711,-2.3575,-141.68
780,191,17115,0.62942,-2.3736,-141.65
765,197,17110,0.64667,-2.3719,-141.63
775,205,17124,0.62248,-2.3431,-141.66
779,211,17116,0.65445,-2.3604,-141.64
766,210,17100,0.67552,-2.3624,-141.62
761,206,17111,0.6858,-2.356,-141.6
763,206,17117,0.69061,-2.3508,-141.59
764,205,17122,0.69237,-2.3463,-141.58
754,212,17105,0.69801,-2.3354,-141.57
