ax,ay,az,gx,gy,gz,mx,my,mz
997,-9,16878,-0.001067,0.014405,-0.006402,58,27,-146
989,-19,16874,-0.001067,0.014405,-0.005869,58,27,-146
982,-31,16882,-0.001067,0.014405,-0.006402,58,27,-146
982,-21,16905,-0.001067,0.014405,-0.005869,58,27,-146
984,-28,16902,-0.001067,0.014405,-0.005869,58,27,-146
994,-34,16900,-0.001067,0.014405,-0.006402,58,26,-146
998,-42,16907,-0.001067,0.014405,-0.006402,58,27,-146
991,-36,16901,-0.001067,0.014405,-0.006402,58,27,-146
993,-35,16898,-0.001067,0.014405,-0.006402,58,27,-146
990,-28,16881,-0.001067,0.014405,-0.006402,58,26,-146
999,-18,16885,-0.001067,0.014405,-0.006402,58,26,-146
1007,-20,16880,-0.001067,0.014405,-0.006402,58,27,-146
1014,-15,16877,-0.001067,0.014405,-0.006402,58,27,-146
1013,-13,16862,-0.001067,0.014405,-0.006402,58,27,-146
1016,2,16850,-0.001067,0.014405,-0.006402,58,27,-146
1025,-6,16840,-0.001067,0.014405,-0.006402,58,27,-146
1024,-2,16843,-0.001067,0.014405,-0.005869,58,27,-146
1032,-4,16835,-0.001067,0.014405,-0.005869,58,27,-146
1036,0,16818,-0.001067,0.014405,-0.005869,58,27,-146
1035,4,16817,-0.001067,0.014405,-0.005869,58,27,-147
1042,5,16822,-0.001067,0.014939,-0.005869,58,27,-147
1034,9,16836,-0.001067,0.014939,-0.005869,58,27,-147
1033,-6,16845,-0.001067,0.014939,-0.005869,58,27,-147
1028,-8,16857,-0.001067,0.014939,-0.005869,58,27,-147
1021,-8,16865,-0.001067,0.014939,-0.005869,58,27,-147
1021,-12,16872,-0.001067,0.014939,-0.005869,58,27,-147
1022,-23,16867,-0.001067,0.014939,-0.005869,58,27,-147
1019,-31,16859,-0.001067,0.014939,-0.005869,58,27,-146
1009,-33,16849,-0.001067,0.014939,-0.005869,58,26,-146
1009,-40,16848,-0.001067,0.014939,-0.005869,58,26,-146
1004,-33,16859,-0.001067,0.014405,-0.005869,58,26,-146
1002,-35,16858,-0.001067,0.014405,-0.005869,57,26,-146
1014,-38,16859,-0.001067,0.014405,-0.005869,58,26,-146
1018,-38,16872,-0.001067,0.014405,-0.005869,58,26,-146
1011,-31,16882,-0.001067,0.014405,-0.005869,58,26,-146
1019,-34,16878,-0.001067,0.014405,-0.005869,58,27,-146
1020,-36,16879,-0.001067,0.014405,-0.006402,58,27,-146
1030,-29,16875,-0.001067,0.014405,-0.005869,58,27,-146
1030,-22,16871,-0.001067,0.014405,-0.005869,58,27,-146
1037,-16,16868,-0.001067,0.014405,-0.005869,58,27,-146
1026,-16,16853,-0.001067,0.014405,-0.005869,58,27,-146
1020,-15,16836,-0.001067,0.014405,-0.005869,58,27,-146
1019,-15,16836,-0.001067,0.014405,-0.005869,58,27,-146
1008,-11,16849,-0.001067,0.014405,-0.005869,58,27,-146
1004,-5,16840,-0.001067,0.014405,-0.005869,58,27,-146
1000,-8,16848,-0.001067,0.014405,-0.006402,58,27,-146
990,-20,16830,-0.001067,0.014405,-0.006402,58,27,-146
988,-14,16840,-0.001067,0.014405,-0.006402,59,27,-146
998,-12,16848,-0.001067,0.014405,-0.006402,58,27,-146
992,-8,16863,-0.001067,0.014405,-0.006402,58,27,-146
986,-10,16878,-0.001067,0.014405,-0.006402,58,27,-146
987,-6,16883,-0.001067,0.014405,-0.006402,58,26,-146
986,-6,16891,-0.001067,0.014405,-0.006402,58,26,-146
982,-2,16883,-0.001067,0.014405,-0.006402,58,27,-146
984,-1,16895,-0.001067,0.014405,-0.006402,58,27,-146
980,-10,16890,-0.001067,0.014405,-0.006402,58,27,-146
