x,y,z,roll,pitch,yaw
1894,103,17087,0.29459,-6.0711,149.92
1900,107,17071,0.27752,-6.0909,149.89
1902,112,17091,0.27344,-6.1015,149.86
1906,119,17069,0.27901,-6.1122,149.83
1904,118,17057,0.28512,-6.1188,149.81
1914,116,17092,0.28642,-6.1294,149.79
1899,115,17091,0.28945,-6.1269,149.76
1896,116,17073,0.25574,-6.1459,149.71
1895,115,17081,0.28044,-6.1291,149.7
1903,117,17087,0.29855,-6.1226,149.69
1910,113,17068,0.37498,-6.0869,149.74
1917,108,17084,0.41688,-6.0707,149.78
1903,103,17086,0.33274,-6.1138,149.72
1902,97,17083,0.27885,-6.1373,149.67
1907,94,17096,0.24552,-6.1518,149.63
1900,90,17105,0.2628,-6.1304,149.63
1908,79,17095,0.22694,-6.1443,149.6
1910,77,17099,0.20487,-6.1519,149.57
1904,84,17098,0.19785,-6.1491,149.54
1897,78,17090,0.22929,-6.1185,149.56
1895,83,17091,0.25154,-6.0965,149.57
1887,89,17068,0.26925,-6.0777,149.57
1880,86,17059,0.27927,-6.0606,149.57
1892,89,17074,0.28338,-6.0579,149.57
1891,104,17079,0.36737,-6.0148,149.63
1890,109,17089,0.4171,-5.9907,149.67
1893,105,17104,0.44639,-5.9766,149.71
1893,108,17104,0.46435,-5.9697,149.74
1890,100,17099,0.46758,-5.9655,149.77
1889,96,17114,0.50183,-5.9408,149.83
1891,100,17103,0.48343,-5.9525,149.85
1890,90,17095,0.46276,-5.9611,149.86
1895,87,17098,0.48305,-5.9493,149.92
1903,89,17097,0.45502,-5.9716,149.93
1892,83,17062,0.43175,-5.9823,149.94
1884,86,17059,0.41732,-5.9844,149.96
1884,87,17046,0.40699,-5.9869,149.97
1889,84,17047,0.39656,-5.9925,149.98
1898,83,17058,0.38766,-6.0024,150
1902,94,17035,0.32275,-6.053,149.95
1901,94,17034,0.28541,-6.0841,149.91
1895,89,17021,0.26134,-6.1002,149.88
1887,91,17048,0.24832,-6.1014,149.86
1881,94,17039,0.24546,-6.0966,149.84
1893,91,17045,0.24308,-6.0998,149.82
1890,102,17033,0.25149,-6.0998,149.8
1896,103,17035,0.3261,-6.0655,149.84
1901,107,17063,0.37401,-6.0475,149.87
1903,104,17074,0.33294,-6.077,149.84
1885,101,17084,0.3074,-6.0813,149.81
1885,105,17074,0.36339,-6.0445,149.85
1900,97,17070,0.39046,-6.0329,149.88
1899,104,17073,0.37235,-6.0482,149.87
1902,96,17077,0.35458,-6.0599,149.86
1900,99,17080,0.34596,-6.0657,149.85
1903,99,17070,0.34241,-6.0721,149.85
1900,98,17056,0.34007,-6.0755,149.84
1911,102,17046,0.3419,-6.0849,149.84
1914,97,17047,0.34401,-6.0933,149.84
1911,87,17052,0.37669,-6.0742,149.88
1914,88,17057,0.39527,-6.0653,149.91
1914,94,17060,0.40897,-6.0611,149.94
1916,89,17054,0.41211,-6.062,149.96
1913,79,17052,0.40493,-6.0621,149.98
1900,88,17051,0.40104,-6.0557,150
1893,89,17049,0.39577,-6.0467,150.01
1897,90,17052,0.39247,-6.043,150.03
1906,94,17068,0.39158,-6.046,150.04
1906,97,17072,0.39215,-6.0485,150.05
1911,86,17076,0.38366,-6.0543,150.06
1914,91,17074,0.41838,-6.0414,150.11
1915,101,17065,0.44445,-6.0374,150.14
1917,100,17077,0.45774,-6.0384,150.18
1913,98,17094,0.42465,-6.0587,150.17
1920,94,17100,0.40071,-6.0764,150.17
1919,102,17101,0.39135,-6.0874,150.17
1936,95,17090,0.41821,-6.087,150.2
1931,101,17087,0.39999,-6.108,150.2
1912,102,17087,0.38833,-6.109,150.2
1895,104,17110,0.31568,-6.133,150.14
1894,102,17100,0.27147,-6.1438,150.09
1905,96,17092,0.24223,-6.1552,150.04
1912,106,17094,0.23384,-6.1646,150.01
1912,104,17092,0.2305,-6.1694,149.98
1899,103,17099,0.23066,-6.1614,149.95
1882,106,17086,0.23521,-6.1426,149.92
1886,101,17090,0.24002,-6.1277,149.9
1898,86,17082,0.2963,-6.089,149.94
1902,91,17079,0.26651,-6.1062,149.91
1911,93,17086,0.25289,-6.1216,149.88
1921,89,17098,0.31032,-6.0992,149.92
1914,91,17091,0.28,-6.1197,149.89
1902,93,17087,0.33098,-6.0855,149.92
1909,87,17089,0.39398,-6.0483,149.99
1909,90,17085,0.42797,-6.0294,150.03
1914,100,17085,0.45293,-6.0232,150.08
1914,96,17082,0.46302,-6.0223,150.11
1913,110,17076,0.54399,-5.9867,150.2
1903,113,17068,0.59105,-5.9642,150.28
1904,109,17078,0.6119,-5.9537,150.35
1907,119,17077,0.56285,-5.9883,150.35
1911,121,17081,0.49496,-6.0355,150.31
1923,122,17072,0.45469,-6.0748,150.29
1923,113,17069,0.4233,-6.1013,150.28
1937,116,17081,0.4067,-6.1277,150.27
1935,110,17082,0.39336,-6.1446,150.26
1939,111,17076,0.32039,-6.1976,150.19
1928,113,17053,0.34708,-6.1859,150.2
1923,111,17064,0.36241,-6.1746,150.21
1921,109,17072,0.37029,-6.1651,150.21
1922,111,17084,0.3777,-6.1584,150.21
1925,119,17076,0.38292,-6.1587,150.21
1921,109,17074,0.41716,-6.1353,150.25
1915,111,17076,0.40152,-6.138,150.24
1902,110,17070,0.4287,-6.1072,150.27
1896,108,17084,0.40741,-6.1009,150.26
1895,97,17063,0.31941,-6.1335,150.19
1903,101,17062,0.26854,-6.1552,150.13
1904,101,17073,0.23986,-6.1655,150.09
1903,97,17069,0.22208,-6.1689,150.05
1896,96,17064,0.21297,-6.1636,150.02
1891,82,17045,0.20341,-6.1531,149.99
1883,76,17056,0.19045,-6.1388,149.96
1888,76,17051,0.18332,-6.1299,149.94
1901,77,17066,0.24756,-6.0917,149.98
1902,74,17071,0.2852,-6.0689,150.01
1904,71,17067,0.30491,-6.057,150.03
1897,69,17081,0.31416,-6.0443,150.05
1896,70,17090,0.31859,-6.0348,150.07
1897,82,17105,0.32812,-6.0284,150.08
1895,86,17096,0.33588,-6.0242,150.09
1905,90,17090,0.34278,-6.0296,150.1
1905,90,17099,0.34668,-6.034,150.11
1903,93,17091,0.35082,-6.0372,150.12
1905,95,17076,0.35449,-6.043,150.13
1897,99,17072,0.35946,-6.0426,150.14
1896,108,17059,0.36876,-6.0433,150.14
1892,98,17050,0.36745,-6.0424,150.15
1893,95,17050,0.36403,-6.0427,150.15
1885,94,17057,0.42818,-5.999,150.21
1890,98,17050,0.46653,-5.9771,150.27
1899,96,17047,0.48521,-5.9737,150.31
1890,89,17070,0.48847,-5.9648,150.35
1898,96,17060,0.38601,-6.0269,150.29
1900,101,17063,0.36679,-6.0438,150.28
1911,97,17074,0.35265,-6.0617,150.27
1919,107,17080,0.35187,-6.0793,150.26
1925,109,17086,0.28808,-6.1341,150.2
1921,92,17083,0.24113,-6.1655,150.15
1923,93,17082,0.21621,-6.1852,150.1
1926,95,17091,0.20561,-6.1991,150.07
1919,81,17103,0.19237,-6.2011,150.03
1912,69,17099,0.17766,-6.1955,150.01
1912,79,17099,0.17554,-6.189,149.98
1917,79,17097,0.17603,-6.1864,149.96
1918,74,17103,0.24122,-6.1471,150
1914,85,17090,0.28788,-6.1215,150.03
1901,85,17094,0.31559,-6.0969,150.06
1892,84,17077,0.33041,-6.0746,150.07
1880,91,17066,0.38037,-6.0308,150.12
1893,82,17082,0.4011,-6.0111,150.16
1892,81,17085,0.41124,-5.9987,150.2
1889,72,17089,0.40765,-5.9892,150.23
1892,78,17072,0.33668,-6.0266,150.19
1903,84,17090,0.30112,-6.0532,150.17
1897,87,17088,0.28247,-6.0659,150.15
1899,93,17085,0.33747,-6.0398,150.2
1911,88,17096,0.36968,-6.0313,150.23
1909,105,17091,0.29784,-6.0869,150.17
1924,117,17106,0.33261,-6.0925,150.17
1933,123,17100,0.36038,-6.1059,150.18
1941,131,17097,0.3855,-6.1238,150.18
1932,131,17069,0.4072,-6.1311,150.18
1928,124,17063,0.41702,-6.1357,150.18
1919,120,17062,0.42081,-6.1336,150.19
1924,121,17066,0.42376,-6.1355,150.19
1933,128,17075,0.46818,-6.1219,150.22
1924,121,17056,0.42384,-6.1499,150.19
1916,118,17060,0.39208,-6.1627,150.17
1905,112,17066,0.36917,-6.1608,150.14
1897,111,17070,0.35467,-6.1509,150.13
1905,110,17077,0.34518,-6.1468,150.11
1917,107,17077,0.3378,-6.1493,150.1
1917,110,17060,0.33643,-6.1515,150.08
1912,96,17064,0.28514,-6.1725,150.03
1914,92,17058,0.25274,-6.1846,149.99
1909,93,17051,0.23948,-6.1845,149.96
1900,82,17053,0.2252,-6.1755,149.94
1897,74,17057,0.21152,-6.164,149.92
1893,83,17062,0.21011,-6.1501,149.9
1891,87,17057,0.21326,-6.1374,149.88
1897,88,17059,0.22114,-6.1289,149.86
1902,91,17054,0.22585,-6.1283,149.84
1894,88,17066,0.22857,-6.1204,149.82
1895,82,17072,0.2937,-6.0761,149.87
1896,81,17078,0.33091,-6.049,149.9
1896,83,17092,0.35306,-6.0314,149.93
1903,77,17102,0.36032,-6.0251,149.96
1901,83,17101,0.36708,-6.0207,149.98
1902,90,17121,0.37456,-6.018,149.99
1893,90,17117,0.37646,-6.0126,150.01
1893,92,17119,0.3775,-6.0079,150.02
1887,100,17120,0.38263,-6.0008,150.03
1891,105,17114,0.42617,-5.9784,150.08
1890,115,17115,0.45795,-5.9654,150.11
1893,116,17101,0.43886,-5.9838,150.1
1896,126,17104,0.43441,-5.9981,150.1
1896,115,17104,0.42446,-6.0085,150.1
1889,103,17099,0.40963,-6.0112,150.1
1882,102,17100,0.40025,-6.0073,150.1
1889,87,17088,0.38263,-6.0099,150.11
1893,91,17093,0.37325,-6.0136,150.11
1913,92,17086,0.3672,-6.0309,150.12
1918,90,17087,0.36193,-6.0474,150.13
1926,75,17085,0.3477,-6.0659,150.13
1921,69,17072,0.3338,-6.0769,150.15
1917,81,17067,0.33261,-6.0826,150.16
1922,78,17046,0.32759,-6.0926,150.16
1925,92,17070,0.33382,-6.102,150.17
1930,83,17060,0.33128,-6.1143,150.18
1928,78,17070,0.32573,-6.1217,150.19
1925,83,17064,0.32512,-6.1258,150.2
1921,82,17073,0.32351,-6.1243,150.21
1917,88,17071,0.32238,-6.1227,150.21
1916,80,17072,0.3155,-6.1209,150.21
1918,81,17079,0.31112,-6.1201,150.21
1936,74,17055,0.30651,-6.1321,150.22
1932,85,17069,0.31127,-6.1373,150.23
1928,82,17069,0.31205,-6.139,150.23
1926,76,17070,0.30778,-6.1391,150.24
1916,75,17061,0.30715,-6.1307,150.25
1916,83,17067,0.24494,-6.1624,150.2
1918,86,17078,0.21102,-6.1804,150.16
1926,89,17082,0.19631,-6.1965,150.12
1916,95,17096,0.19469,-6.1977,150.09
1918,86,17097,0.19021,-6.1982,150.06
1906,85,17092,0.15105,-6.2107,150
1899,86,17100,0.19248,-6.1728,150
1899,90,17108,0.25934,-6.1247,150.04
1901,81,17113,0.29279,-6.095,150.06
1905,78,17098,0.30963,-6.0798,150.08
1907,81,17110,0.32066,-6.0709,150.1
1910,80,17102,0.32556,-6.0684,150.11
1903,79,17095,0.3283,-6.0631,150.12
1898,80,17095,0.32952,-6.0548,150.13
1888,92,17092,0.37379,-6.0212,150.18
1875,87,17066,0.291,-6.0528,150.12
1874,94,17063,0.31301,-6.0299,150.13
1883,102,17078,0.33148,-6.0197,150.13
1885,104,17075,0.34415,-6.0152,150.14
1883,103,17080,0.35138,-6.0111,150.14
1866,106,17081,0.35793,-5.9963,150.15
1871,108,17071,0.36276,-5.99,150.15
1878,89,17059,0.35198,-5.9916,150.15
1888,90,17099,0.34659,-5.9978,150.15
1897,86,17098,0.34016,-6.0087,150.16
1887,101,17093,0.34692,-6.01,150.16
1873,95,17091,0.28086,-6.0398,150.1
1869,92,17080,0.24052,-6.0533,150.05
1880,91,17081,0.22112,-6.0641,150.01
1881,97,17090,0.2161,-6.0692,149.98
1886,102,17096,0.21949,-6.0727,149.95
1887,105,17066,0.22698,-6.077,149.93
1886,110,17056,0.27614,-6.0577,149.94
1895,99,17048,0.29848,-6.055,149.94
1890,95,17039,0.31011,-6.0516,149.95
1886,99,17046,0.3203,-6.0466,149.95
1887,104,17041,0.32676,-6.0467,149.95
1898,94,17052,0.39011,-6.0169,150.01
1906,93,17062,0.35971,-6.0433,150
1921,98,17075,0.41104,-6.0332,150.05
1932,93,17071,0.39951,-6.0606,150.06
1930,83,17077,0.31892,-6.1174,150.01
1931,97,17085,0.34767,-6.1148,150.03
1930,93,17083,0.36223,-6.1151,150.05
1929,89,17085,0.40514,-6.0952,150.1
1933,101,17062,0.37151,-6.1274,150.08
1930,100,17057,0.35119,-6.147,150.07
1926,101,17050,0.34029,-6.1576,150.06
1907,91,17071,0.33061,-6.1471,150.05
1887,100,17074,0.33031,-6.1239,150.05
1882,86,17067,0.28301,-6.1248,150.01
1883,89,17065,0.25646,-6.1202,149.98
1896,85,17062,0.23815,-6.1244,149.95
1893,79,17073,0.29033,-6.0842,149.99
1892,78,17079,0.31961,-6.0577,150.02
1890,65,17092,0.3261,-6.0384,150.04
1882,79,17074,0.26988,-6.0593,150
1887,81,17068,0.30403,-6.0342,150.03
1889,86,17076,0.32703,-6.0195,150.05
1903,85,17074,0.27313,-6.059,150
1900,88,17093,0.24443,-6.0796,149.97
1894,90,17101,0.23047,-6.0868,149.94
1885,96,17093,0.23355,-6.0818,149.92
1877,105,17088,0.24391,-6.0718,149.9
1882,101,17093,0.28703,-6.0454,149.91
1882,93,17094,0.30798,-6.0286,149.92
1891,92,17103,0.3822,-5.9898,149.99
1893,102,17106,0.43225,-5.9677,150.04
1891,100,17101,0.39204,-5.9929,150.02
1894,89,17091,0.35974,-6.0128,150
1888,92,17092,0.33838,-6.023,149.99
1884,84,17077,0.31957,-6.0273,149.99
1872,76,17079,0.36788,-5.9829,150.04
1883,66,17080,0.32157,-6.0004,150.03
1888,73,17065,0.29718,-6.0149,150.02
1879,70,17064,0.24212,-6.0395,149.98
1875,69,17046,0.24665,-6.0294,149.98
1860,80,17055,0.21915,-6.0325,149.94
1874,71,17058,0.19717,-6.0412,149.92
1875,74,17065,0.18741,-6.0451,149.89
1896,78,17070,0.18993,-6.0586,149.87
1907,88,17076,0.20129,-6.0752,149.85
1916,79,17079,0.20119,-6.0959,149.84
1913,69,17081,0.19669,-6.1082,149.82
1913,71,17078,0.20095,-6.1143,149.81
1923,78,17080,0.21013,-6.1257,149.8
1919,85,17086,0.21908,-6.1317,149.79
1925,90,17089,0.23029,-6.1416,149.78
1925,92,17101,0.24102,-6.1465,149.77
1920,92,17101,0.31612,-6.1089,149.82
1918,98,17107,0.36512,-6.0854,149.85
1911,99,17120,0.39448,-6.0666,149.88
1908,100,17132,0.4114,-6.0526,149.91
1907,92,17104,0.41425,-6.0458,149.93
1905,86,17092,0.40809,-6.0416,149.95
1907,85,17106,0.4402,-6.0182,150
1916,89,17102,0.35515,-6.073,149.95
1919,90,17107,0.30518,-6.1068,149.91
1903,88,17109,0.27857,-6.1135,149.89
1904,94,17097,0.26608,-6.1173,149.87
1912,93,17097,0.25909,-6.124,149.85
1912,90,17128,0.32189,-6.0873,149.89
1919,91,17128,0.35948,-6.0705,149.92
1922,90,17123,0.38394,-6.0624,149.95
1912,84,17122,0.38952,-6.0542,149.98
1918,82,17116,0.3893,-6.0544,150
1924,81,17117,0.38649,-6.0599,150.02
1921,76,17118,0.37946,-6.0641,150.04
1910,73,17108,0.37104,-6.0608,150.05
1907,66,17104,0.29094,-6.095,150.01
1909,72,17112,0.35137,-6.0544,150.07
1905,71,17107,0.38052,-6.0298,150.12
1915,73,17108,0.33015,-6.0599,150.1
1905,77,17097,0.37155,-6.0332,150.15
1899,80,17087,0.39598,-6.0145,150.19
1889,83,17093,0.40659,-5.9983,150.22
1901,90,17096,0.34914,-6.0341,150.19
1904,100,17089,0.32203,-6.0587,150.16
1912,102,17077,0.30867,-6.081,150.14
1914,94,17080,0.25909,-6.119,150.09
1904,98,17071,0.23484,-6.1355,150.05
1900,101,17086,0.22514,-6.1403,150.01
1893,95,17072,0.21785,-6.1374,149.98
1911,93,17060,0.2143,-6.147,149.95
1916,96,17070,0.21715,-6.1552,149.93
1924,104,17088,0.33161,-6.1058,150
1922,92,17094,0.39181,-6.0768,150.06
1924,98,17100,0.43044,-6.0622,150.1
1920,92,17099,0.44746,-6.053,150.14
1915,91,17089,0.49125,-6.0244,150.21
1921,93,17101,0.47763,-6.0343,150.24
